ranker,player,team,fantasy_pos,age,g,gs,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fantasy_points,fantasy_points_ppr,draftkings_points,fanduel_points,vbd,fantasy_rank_pos,fantasy_rank_overall,player_id
28,T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,0,,0,127,95,960,10.11,5,1,1,5,,,124,219.0,223.0,171.5,37,4,28,HockTJ00
29,Stefon Diggs*,BUF,WR,30,17,17,0,0,0,0,0,1,5,5.00,0,160,107,1183,11.06,8,2,1,8,1,,167,273.8,277.8,220.3,35,12,29,DiggSt00
30,David Njoku*,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,123,81,882,10.89,6,2,2,6,,,120,201.2,206.2,160.7,34,5,30,NjokDa00
31,Brock Purdy*,SFO,QB,24,16,16,308,444,4280,31,11,39,144,3.69,2,0,0,0,,0,6,2,2,,,296,295.6,314.6,306.6,31,6,31,PurdBr00
32,David Montgomery,DET,RB,26,14,14,0,0,0,0,0,219,1015,4.63,13,24,16,117,7.31,0,2,1,13,1,,191,207.2,214.2,199.2,31,9,32,MontDa01
33,Ja'Marr Chase*,CIN,WR,23,16,16,1,1,-7,0,0,3,-6,-2.00,0,145,100,1216,12.16,7,1,0,7,,,163,262.7,265.7,212.7,31,13,33,ChasJa00
34,Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,0,,0,175,103,1144,11.11,8,0,0,8,,,162,265.4,268.4,213.9,31,14,34,AdamDa01
35,Jahmyr Gibbs*,DET,RB,21,15,3,0,0,0,0,0,182,945,5.19,10,71,52,316,6.08,1,2,1,11,,,190,242.1,249.1,216.1,30,10,35,GibbJa01
36,Evan Engram*,JAX,TE,29,17,15,0,0,0,0,0,0,0,,0,143,114,963,8.45,4,3,2,4,,,116,230.3,235.3,173.3,30,6,36,EngrEv00
37,James Cook*,BUF,RB,24,17,13,0,0,0,0,0,237,1122,4.73,2,54,44,445,10.11,4,4,2,6,,,189,232.7,240.7,210.7,29,11,37,CookJa01
38,Bijan Robinson,ATL,RB,21,17,16,0,0,0,0,0,214,976,4.56,4,86,58,487,8.40,4,4,3,8,,,188,246.3,255.3,217.3,29,12,38,RobiBi01
39,D.K. Metcalf*,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,119,66,1114,16.88,8,0,0,8,,,159,225.4,228.4,192.4,28,15,39,MetcDK00
40,Jared Goff,DET,QB,29,17,17,407,605,4575,30,12,32,21,0.66,2,0,0,0,,0,6,4,2,,2,289,289.1,308.1,301.1,25,7,40,GoffJa00
41,Taysom Hill,NOR,TE,33,16,7,6,11,83,1,0,81,401,4.95,4,40,33,291,8.82,2,1,1,6,,,111,143.5,150.5,127.0,25,7,41,HillTa00
42,Amari Cooper*,CLE,WR,29,15,15,0,0,0,0,0,0,0,,0,128,72,1250,17.36,5,2,1,5,1,,155,227.0,231.0,191.0,24,16,42,CoopAm00
43,Saquon Barkley,NYG,RB,26,14,14,0,0,0,0,0,247,962,3.89,6,60,41,280,6.83,4,2,2,10,1,,182,223.2,231.2,202.7,23,13,43,BarkSa00
44,Calvin Ridley,JAX,WR,29,17,17,0,0,0,0,0,9,23,2.56,0,136,76,1016,13.37,8,1,0,8,1,,154,229.9,232.9,191.9,23,17,44,RidlCa00
45,Jayden Reed,GNB,WR,23,16,13,0,0,0,0,0,11,119,10.82,2,94,64,793,12.39,8,2,0,10,1,,153,217.2,223.2,185.2,22,18,45,ReedJa03
46,Cole Kmet,CHI,TE,24,17,17,0,0,0,0,0,3,2,0.67,0,90,73,719,9.85,6,1,0,6,,,108,181.1,184.1,144.6,22,8,46,KmetCo00
47,Jordan Addison,MIN,WR,21,17,14,0,0,0,0,0,1,2,2.00,0,108,70,911,13.01,10,0,0,10,,,151,221.3,224.3,186.3,21,19,47,AddiJo00
48,Jake Ferguson*,DAL,TE,24,17,16,0,0,0,0,0,0,0,,0,102,71,761,10.72,5,0,0,5,,,106,177.1,180.1,141.6,21,9,48,FergJa00
49,DeAndre Hopkins,TEN,WR,31,17,16,0,1,0,0,0,2,9,4.50,0,137,75,1057,14.09,7,0,0,7,,,149,223.6,226.6,186.1,18,20,49,HopkDe00
50,Patrick Mahomes*,KAN,QB,28,16,16,401,597,4183,27,14,75,389,5.19,0,0,0,0,,0,5,3,0,,,280,280.2,303.2,294.2,17,8,50,MahoPa00
51,Jakobi Meyers,LVR,WR,27,16,16,2,3,12,1,0,4,24,6.00,2,106,71,807,11.37,8,0,0,10,,,148,218.6,221.6,183.1,17,21,51,MeyeJa01
52,James Conner,ARI,RB,28,13,13,0,0,0,0,0,208,1040,5.00,7,33,27,165,6.11,2,0,0,9,,,175,201.5,207.5,188.0,16,15,52,ConnJa00
53,Gus Edwards,BAL,RB,28,17,9,0,0,0,0,0,198,810,4.09,13,13,12,180,15.00,0,3,2,13,1,,175,187.0,195.0,181.0,16,14,53,EdwaGu00
54,DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,0,,0,112,81,1066,13.16,7,1,1,7,,,147,227.6,231.6,187.1,16,22,54,SmitDe07
55,George Pickens,PIT,WR,22,17,16,0,0,0,0,0,3,18,6.00,0,106,63,1140,18.10,5,3,0,5,,,146,208.8,211.8,177.3,15,23,55,PickGe00
56,Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,0,,0,106,81,825,10.19,3,1,0,3,,,101,181.5,184.5,141.0,15,10,56,McBrTr01
57,Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,0,,0,138,87,1123,12.91,5,0,0,5,1,,144,231.3,234.3,187.8,14,24,57,OlavCh00
58,C.J. Stroud*,HOU,QB,22,15,15,319,499,4108,23,5,39,167,4.28,3,1,1,0,0.00,0,8,4,3,1,,275,276.0,291.0,280.5,12,9,58,StroCJ00
59,Kenneth Walker III,SEA,RB,23,15,15,0,0,0,0,0,219,905,4.13,8,37,29,259,8.93,1,1,0,9,,,170,199.4,205.4,184.9,12,16,59,WalkKe00
60,Baker Mayfield*,TAM,QB,28,17,17,364,566,4044,28,10,62,163,2.63,1,0,0,0,,0,8,3,1,,2,274,274.1,293.1,284.1,11,10,60,MayfBa00
61,Isiah Pacheco,KAN,RB,24,14,13,0,0,0,0,0,205,935,4.56,7,49,44,244,5.55,2,1,1,9,,,170,213.9,220.9,191.9,11,17,61,PachIs00
62,Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,0,,0,156,109,1152,10.57,4,2,1,4,2,,141,250.2,254.2,195.7,11,25,62,PittMi01
63,Tony Pollard,DAL,RB,26,17,17,0,0,0,0,0,252,1005,3.99,6,67,55,311,5.65,0,3,1,6,1,,168,222.6,229.6,195.1,9,18,63,PollTo00
64,Jerome Ford,CLE,RB,24,17,12,0,0,0,0,0,204,813,3.99,4,63,44,319,7.25,5,1,1,9,1,,167,211.2,218.2,189.2,9,19,64,FordJe00
65,Najee Harris,PIT,RB,25,17,17,0,0,0,0,0,255,1035,4.06,8,38,29,170,5.86,0,2,1,8,,,167,195.5,202.5,181.0,8,20,65,HarrNa00
66,Tua Tagovailoa*,MIA,QB,25,17,17,388,560,4624,29,14,35,74,2.11,0,0,0,0,,0,13,5,0,,,270,270.4,292.4,284.4,7,11,66,TagoTu00
67,Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,0,,0,88,59,635,10.76,5,1,1,5,,,92,150.5,154.5,121.0,7,11,67,SchuDa00
68,Mark Andrews,BAL,TE,28,10,9,0,0,0,0,0,1,0,0.00,0,61,45,544,12.09,6,1,0,6,,,90,135.4,138.4,112.9,6,12,68,AndrMa00
69,De'Von Achane,MIA,RB,22,11,4,0,0,0,0,0,103,800,7.77,8,37,27,197,7.30,3,1,1,11,,,164,190.7,197.7,177.2,5,21,69,AchaDe00
70,Justin Jefferson,MIN,WR,24,10,9,0,1,0,0,0,1,-12,-12.00,0,100,68,1074,15.79,5,1,1,5,,,134,202.2,206.2,168.2,5,26,70,JeffJu00
71,Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,0,0,178,733,4.12,5,43,36,368,10.22,4,4,2,9,1,,162,198.1,206.1,180.1,4,22,71,RobiBr01
72,Rashee Rice,KAN,WR,23,16,8,0,0,0,0,0,1,-3,-3.00,0,102,79,938,11.87,7,2,1,7,,,134,212.5,216.5,173.0,4,27,72,RiceRa01
73,D'Andre Swift*,PHI,RB,24,16,15,0,0,0,0,0,229,1049,4.58,5,49,39,214,5.49,1,3,1,6,,,160,199.3,206.3,179.8,2,23,73,SwifDA00
74,Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,0,,0,90,59,772,13.08,10,3,3,10,,,131,190.2,196.2,160.7,2,28,74,SuttCo00
75,Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,0,,0,132,79,1002,12.68,4,0,0,5,,,130,209.2,212.2,169.7,1,29,75,McLaTe00
76,Trevor Lawrence,JAX,QB,24,16,16,370,564,4016,21,14,70,339,4.84,4,0,0,0,,0,12,7,4,,1,263,262.5,289.5,276.5,,12,76,LawrTr00
77,Sam Howell,WAS,QB,23,17,17,388,612,3946,21,21,48,263,5.48,5,1,1,4,4.00,0,4,2,5,1,1,257,257.5,286.5,278.0,,14,77,HoweSa00
78,Russell Wilson,DEN,QB,35,15,15,297,447,3070,26,8,80,341,4.26,3,0,0,0,,0,10,5,3,,2,257,256.9,275.9,264.9,,13,78,WilsRu00
79,Matthew Stafford*,LAR,QB,35,15,15,326,521,3965,24,11,21,65,3.10,0,0,0,0,,0,0,0,0,1,1,243,243.1,257.1,254.1,,15,,StafMa00
80,Derek Carr,NOR,QB,32,17,17,375,548,3878,25,8,32,40,1.25,0,0,0,0,,0,7,3,0,,2,241,241.1,255.1,249.1,,16,,CarrDe02
81,Justin Herbert,LAC,QB,25,13,13,297,456,3134,20,7,52,228,4.38,3,1,1,10,10.00,0,4,1,3,,1,233,234.2,248.2,240.7,,17,,HerbJu00
82,Justin Fields,CHI,QB,24,13,13,227,370,2562,16,9,124,657,5.30,4,0,0,0,,0,10,4,4,,,230,230.2,249.2,239.2,,18,,FielJu00
83,Geno Smith*,SEA,QB,33,15,15,323,499,3624,20,9,37,155,4.19,1,1,1,-2,-2.00,0,5,3,1,,2,226,227.3,245.3,235.8,,19,,SmitGe00
84,Joshua Dobbs,2TM,QB,28,13,12,262,417,2464,13,10,77,421,5.47,6,0,0,0,,0,14,7,6,2,1,201,200.7,223.7,210.7,,20,,DobbJo00
85,Gardner Minshew II*,IND,QB,27,17,13,305,490,3305,15,9,34,100,2.94,3,0,0,0,,0,8,5,3,,2,196,196.2,216.2,205.2,,21,,MinsGa00
86,Desmond Ridder,ATL,QB,24,15,13,249,388,2836,12,12,53,193,3.64,5,1,1,-6,-6.00,0,12,7,5,,2,176,177.1,202.1,188.6,,22,,RiddDe00
87,Alvin Kamara,NOR,RB,28,13,12,0,0,0,0,0,180,694,3.86,5,86,75,466,6.21,1,0,0,6,3,,158,233.0,239.0,195.5,,24,,KamaAl00
88,Bryce Young,CAR,QB,22,16,16,315,527,2877,11,10,39,253,6.49,0,0,0,0,,0,11,6,0,1,1,156,156.4,178.4,166.4,,23,,YounBr01
89,Kirk Cousins,MIN,QB,35,8,8,216,311,2331,18,5,14,25,1.79,0,0,0,0,,0,7,4,0,,,150,149.7,161.7,154.7,,24,,CousKi00
90,Joe Burrow,CIN,QB,27,10,10,244,365,2309,15,6,31,88,2.84,0,0,0,0,,0,2,1,0,,,147,147.2,157.2,153.2,,25,,BurrJo01
91,Kyler Murray,ARI,QB,26,8,8,176,268,1799,10,5,44,244,5.55,3,0,0,0,,0,7,0,3,,1,146,146.4,157.4,151.4,,26,,MurrKy00
92,Chuba Hubbard,CAR,RB,24,17,12,0,0,0,0,0,238,902,3.79,5,44,39,233,5.97,0,1,0,5,,,144,182.5,188.5,163.0,,26,,HubbCh01
93,Josh Jacobs,LVR,RB,25,13,13,0,0,0,0,0,233,805,3.45,6,54,37,296,8.00,0,3,1,6,,,144,181.1,188.1,162.6,,25,,JacoJo01
94,Jake Browning,CIN,QB,27,9,7,171,243,1936,12,7,27,127,4.70,3,1,1,-7,-7.00,0,3,0,3,,1,143,144.4,157.4,150.9,,27,,BrowJa08
95,Zack Moss,IND,RB,26,14,8,0,0,0,0,0,183,794,4.34,5,37,27,192,7.11,2,0,0,7,1,,143,169.6,175.6,156.1,,27,,MossZa00
96,Devin Singletary,HOU,RB,26,17,10,1,1,6,1,0,216,898,4.16,4,38,30,193,6.43,0,1,0,4,,,137,167.3,173.3,152.3,,29,,SingDe00
97,Jonathan Taylor,IND,RB,24,10,7,0,0,0,0,0,169,741,4.38,7,23,19,153,8.05,1,1,0,8,,,137,156.4,162.4,146.9,,28,,TaylJo02
98,Jaylen Warren,PIT,RB,25,17,0,0,0,0,0,0,149,784,5.26,4,74,61,370,6.07,0,4,2,4,,,135,196.4,204.4,165.9,,30,,WarrJa01
99,Austin Ekeler,LAC,RB,28,14,14,0,0,0,0,0,179,628,3.51,5,74,51,436,8.55,1,5,4,6,,,134,185.4,195.4,159.9,,31,,EkelAu00
100,Javonte Williams,DEN,RB,23,16,13,0,0,0,0,0,217,774,3.57,3,58,47,228,4.85,2,1,1,5,2,,132,179.2,186.2,155.7,,32,,WillJa10
101,Zay Flowers,BAL,WR,23,16,16,0,0,0,0,0,8,56,7.00,1,108,77,858,11.14,5,0,0,6,1,,129,206.4,209.4,167.9,,30,,FlowZa00
102,Adam Thielen,CAR,WR,33,17,17,0,0,0,0,0,1,6,6.00,0,137,103,1014,9.84,4,2,0,4,1,,128,231.0,234.0,179.5,,31,,ThieAd00
103,Jaylen Waddle,MIA,WR,25,14,14,0,0,0,0,0,3,12,4.00,0,104,72,1014,14.08,4,0,0,4,,,127,198.6,201.6,162.6,,32,,WaddJa00
104,Chris Godwin,TAM,WR,27,17,17,0,1,0,0,0,4,38,9.50,1,130,83,1024,12.34,2,0,0,3,1,,126,209.2,212.2,167.7,,33,,GodwCh00
105,Aidan O'Connell,LVR,QB,25,11,10,213,343,2218,12,7,17,11,0.65,1,0,0,0,,0,4,2,1,,,126,125.8,137.8,132.8,,28,,OConAi00
106,Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,0,0,184,642,3.49,3,65,51,313,6.14,2,2,1,5,,,124,174.5,181.5,149.0,,33,,ElliEz00
107,Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,0,,0,122,79,894,11.32,5,0,0,5,2,,123,202.4,205.4,162.9,,34,,LockTy00
108,Tyler Allgeier,ATL,RB,23,17,3,0,0,0,0,0,186,683,3.67,4,23,18,193,10.72,1,0,0,5,1,,120,137.6,143.6,128.6,,34,,AllgTy00
109,Zach Wilson,NYJ,QB,24,12,11,221,368,2271,8,7,36,211,5.86,0,0,0,0,,0,11,7,0,1,1,120,119.9,139.9,126.9,,29,,WilsZa00
110,Brandin Cooks,DAL,WR,30,16,15,0,0,0,0,0,5,35,7.00,0,81,54,657,12.17,8,1,0,8,1,,119,173.2,176.2,146.2,,35,,CookBr00
111,Tank Dell,HOU,WR,24,11,8,0,0,0,0,0,11,51,4.64,0,75,47,709,15.09,7,1,0,7,,,118,165.0,168.0,141.5,,37,,DellNa00
112,Garrett Wilson,NYJ,WR,23,17,17,0,1,0,0,0,4,0,0.00,0,168,95,1042,10.97,3,2,2,3,,,118,213.2,218.2,165.7,,36,,WilsGa00
113,Gabriel Davis,BUF,WR,24,17,17,0,0,0,0,0,1,-2,-2.00,0,81,45,746,16.58,7,1,1,7,1,,116,161.4,165.4,138.9,,38,,DaviGa01
114,Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,0,,0,96,59,674,11.42,8,1,0,8,,,115,174.4,177.4,144.9,,39,,DoubRo00
115,Kenny Pickett,PIT,QB,25,12,12,201,324,2070,6,4,42,54,1.29,1,0,0,0,,0,2,0,1,,,110,110.2,117.2,114.2,,30,,PickKe00
116,Rashid Shaheed*+,NOR,WR,25,15,8,0,0,0,0,0,7,37,5.29,0,75,46,719,15.63,5,1,1,6,,,110,155.6,159.6,132.6,,40,,ShahRa00
117,Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,0,0,156,619,3.97,4,51,38,238,6.26,0,1,1,4,,,108,145.7,152.7,126.7,,35,,StevRh00
118,Mac Jones,NWE,QB,25,11,11,224,345,2120,10,12,26,96,3.69,0,0,0,0,,0,3,2,0,,,106,106.4,123.4,118.4,,31,,JoneMa05
119,Aaron Jones,GNB,RB,29,11,11,0,0,0,0,0,142,656,4.62,2,43,30,233,7.77,1,2,1,3,,,105,134.9,141.9,119.9,,36,,JoneAa00
120,Cooper Kupp,LAR,WR,30,12,12,0,0,0,0,0,1,-3,-3.00,0,95,59,737,12.49,5,0,0,5,1,,105,164.4,167.4,134.9,,41,,KuppCo00
121,Drake London,ATL,WR,22,16,16,1,1,22,0,0,0,0,,0,110,69,905,13.12,2,0,0,2,1,,105,174.4,177.4,139.9,,42,,LondDr00
122,Kareem Hunt,CLE,RB,28,15,2,0,0,0,0,0,135,411,3.04,9,21,15,84,5.60,0,0,0,9,,,104,118.5,121.5,111.0,,37,,HuntKa00
123,Alexander Mattison,MIN,RB,25,16,13,0,0,0,0,0,180,700,3.89,0,44,30,192,6.40,3,3,2,3,,,103,133.2,141.2,118.2,,38,,MattAl01
124,Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,0,,0,87,51,717,14.06,5,1,0,5,,,102,152.7,155.7,127.2,,43,,JohnDi01
125,Will Levis,TEN,QB,24,9,9,149,255,1808,8,4,25,57,2.28,1,0,0,0,,0,7,4,1,,1,102,102.0,113.0,106.0,,32,,LeviWi00
126,Tyjae Spears,TEN,RB,22,17,1,0,0,0,0,0,100,453,4.53,2,70,52,385,7.40,1,1,0,3,,,102,153.8,159.8,127.8,,39,,SpeaTy00
127,Joe Flacco,CLE,QB,38,5,5,123,204,1616,13,8,9,2,0.22,0,0,0,0,,0,4,1,0,,1,101,100.8,112.8,108.8,,33,,FlacJo00
128,Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,0,,0,79,50,770,15.40,4,0,0,4,,,101,151.0,154.0,126.0,,44,,SlayDa01
129,AJ Dillon,GNB,RB,25,15,6,0,0,0,0,0,178,613,3.44,2,28,22,223,10.14,0,0,0,2,,,96,117.6,123.6,106.6,,40,,DillAJ00
130,Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,0,,0,76,42,656,15.62,5,0,0,5,,,96,137.6,140.6,116.6,,45,,HiggTe00
131,Curtis Samuel,WAS,WR,27,16,13,0,0,0,0,0,7,39,5.57,1,91,62,613,9.89,4,0,0,5,,,95,157.2,160.2,126.2,,46,,SamuCu00
132,Tommy DeVito,NYG,QB,25,9,6,114,178,1101,8,3,36,195,5.42,1,0,0,0,,0,2,1,1,,,94,93.5,103.5,96.5,,34,,DeViTo00
133,Khalil Herbert,CHI,RB,25,12,9,0,0,0,0,0,132,611,4.63,2,31,20,134,6.70,1,1,1,3,1,,93,112.5,119.5,102.5,,41,,HerbKh00
134,Christian Kirk,JAX,WR,27,12,12,1,2,-1,0,0,1,6,6.00,0,85,57,787,13.81,3,2,2,3,,,93,150.3,155.3,121.8,,47,,KirkCh01
135,Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,0,,0,98,68,771,11.34,2,0,0,2,,,89,157.1,160.1,123.1,,48,,DownJo00
136,Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,0,,0,64,40,608,15.20,5,1,1,5,,,89,128.8,132.8,108.8,,49,,ReynJo00
137,Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,0,,0,87,54,758,14.04,2,1,0,2,,,88,141.8,144.8,114.8,,50,,JeudJe00
138,Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,0,,0,93,63,628,9.97,4,0,0,4,,,87,149.8,152.8,118.3,,51,,SmitJa06
139,Tyrod Taylor,NYG,QB,34,11,5,116,180,1341,5,3,38,197,5.18,0,0,0,0,,0,4,0,0,,,87,87.3,96.3,90.3,,35,,TaylTy00
140,Deshaun Watson,CLE,QB,28,6,6,105,171,1115,7,4,26,142,5.46,1,0,0,0,,0,5,2,1,3,,87,86.8,98.8,90.8,,36,,WatsDe00
141,Marquise Brown,ARI,WR,26,14,14,0,0,0,0,0,2,23,11.50,0,101,51,574,11.25,4,0,0,4,,,84,134.7,137.7,109.2,,52,,BrowMa04
142,Kyle Pitts,ATL,TE,23,17,15,0,0,0,0,0,1,-4,-4.00,0,90,53,667,12.58,3,0,0,3,,,84,137.3,140.3,110.8,,13,,PittKy00
143,DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,0,,0,66,35,525,15.00,5,2,1,5,,,81,115.5,119.5,98.0,,54,,CharDJ00
144,Justice Hill,BAL,RB,26,16,5,0,0,0,0,0,84,387,4.61,3,39,28,206,7.36,1,1,1,4,,,81,109.3,116.3,95.3,,42,,HillJu00
145,Dontayvion Wicks,GNB,WR,22,15,6,1,1,14,0,0,1,1,1.00,0,58,39,581,14.90,4,3,1,4,,,81,119.8,123.8,100.3,,53,,WickDo00
146,Ty Chandler,MIN,RB,25,17,4,0,0,0,0,0,102,461,4.52,3,25,21,159,7.57,0,0,0,3,,,80,101.0,107.0,90.5,,44,,ChanTy01
147,D'Onta Foreman,CHI,RB,27,9,8,0,0,0,0,0,109,425,3.90,4,16,11,77,7.00,1,1,0,5,,,80,91.2,94.2,85.7,,43,,ForeDO00
148,Ryan Tannehill,TEN,QB,35,10,8,149,230,1616,4,7,17,74,4.35,1,1,0,0,,0,4,0,1,,,80,80.0,90.0,87.0,,37,,TannRy00
149,Antonio Gibson,WAS,RB,25,16,2,0,0,0,0,0,65,265,4.08,1,59,48,389,8.10,2,4,2,3,,,79,127.4,135.4,103.4,,45,,GibsAn00
150,Tyler Boyd,CIN,WR,29,17,13,0,1,0,0,1,2,11,5.50,0,98,67,667,9.96,2,0,0,2,,,78,144.8,148.8,112.3,,55,,BoydTy00
151,Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,0,,0,61,42,419,9.98,6,1,0,6,,,78,119.9,122.9,98.9,,14,,HenrHu00
152,Dallas Goedert,PHI,TE,28,14,14,0,0,0,0,0,1,1,1.00,0,83,59,592,10.03,3,0,0,3,,,77,136.3,139.3,106.8,,15,,GoedDa00
