ranker,player,team,fantasy_pos,age,g,gs,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fantasy_points,fantasy_points_ppr,draftkings_points,fanduel_points,vbd,fantasy_rank_pos,fantasy_rank_overall,player_id
366,Chris Moore,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,1,0,1,,,13,19.5,19.5,16.0,,150,,MoorCh00
367,Nick O'Leary,BUF,RB,24,16,7,0,0,0,0,0,0,0,,0,14,9,114,12.67,0,0,0,0,1,,13,22.4,25.4,17.9,,105,,OLeaNi00
368,John Phillips,2TM,TE,29,16,7,0,0,0,0,0,0,0,,0,15,10,72,7.20,1,0,0,1,,,13,23.2,23.2,18.2,,66,,PhilJo00
369,C.J. Spiller,2TM,RB,29,6,0,0,0,0,0,0,6,18,3.00,0,13,6,50,8.33,1,1,0,1,,,13,18.8,18.8,15.8,,107,,SpilC.00
370,Jaelen Strong,HOU,WR,22,8,2,0,0,0,0,0,0,0,,0,24,14,131,9.36,0,0,0,0,,,13,27.1,30.1,20.1,,146,,StroJa01
371,Paul Turner,PHI,WR,23,4,2,0,0,0,0,0,0,0,,0,14,9,126,14.00,0,0,0,0,,,13,21.6,24.6,17.1,,149,,TurnPa01
372,Markus Wheaton,PIT,WR,25,3,2,0,0,0,0,0,0,0,,0,9,4,51,12.75,1,0,0,1,1,,13,17.1,17.1,15.1,,147,,WheaMa00
373,Jarius Wright,MIN,WR,27,8,1,0,0,0,0,0,0,0,,0,14,11,67,6.09,1,0,0,1,,,13,23.7,23.7,18.2,,148,,WrigJa02
374,Jordan Cameron,MIA,TE,28,3,3,0,0,0,0,0,0,0,,0,11,8,60,7.50,1,0,0,1,,,12,20.0,20.0,16.0,,69,,CameJo00
375,Mike Davis,SFO,WR,23,8,1,0,0,0,0,0,19,50,2.63,1,5,3,25,8.33,0,1,1,1,,,12,14.5,15.5,13.0,,152,,DaviMi01
376,Rhett Ellison,MIN,FB,28,15,6,0,0,0,0,0,1,1,1.00,1,14,9,57,6.33,0,0,0,1,,,12,20.8,20.8,16.3,,109,,ElliRh00
377,Brittan Golden,ARI,WR,28,12,1,0,0,0,0,0,0,0,,0,14,8,82,10.25,1,1,1,1,,,12,20.2,21.2,16.2,,151,,GoldBr00
378,Dominique Jones,MIA,TE,29,9,2,0,0,0,0,0,0,0,,0,10,7,61,8.71,1,0,0,1,,,12,19.1,19.1,15.6,,68,,JoneDo01
379,Jordan Todman,IND,RB,26,16,0,0,0,0,0,0,9,59,6.56,0,1,0,0,,0,0,0,1,,,12,11.9,11.9,11.9,,108,,TodmJo00
380,Jamaal Charles,KAN,RB,30,3,0,0,0,0,0,0,12,40,3.33,1,3,2,14,7.00,0,0,0,1,,,11,13.4,13.4,12.4,,110,,CharJa00
381,Patrick DiMarco,ATL,RB,27,16,8,0,0,0,0,0,0,0,,0,10,7,52,7.43,1,0,0,1,,,11,18.2,18.2,14.7,,112,,DiMaPa00
382,Neal Sterling,JAX,WR,24,10,1,0,0,0,0,0,0,0,,0,16,12,110,9.17,0,0,0,0,,,11,23.0,26.0,17.0,,153,,SterNe00
383,Lucky Whitehead,DAL,WR,24,15,1,0,0,0,0,0,10,82,8.20,0,3,3,48,16.00,0,3,1,0,,,11,14.0,15.0,12.5,,154,,WhitLu00
384,Jonathan Williams,BUF,RB,22,11,0,0,1,0,0,0,27,94,3.48,1,2,1,0,0.00,0,2,2,1,,,11,12.4,14.4,11.9,,111,,WillJo07
385,Demarcus Ayers,PIT,WR,22,2,1,0,0,0,0,0,2,-12,-6.00,0,13,6,53,8.83,1,0,0,1,,,10,16.1,16.1,13.1,,155,,AyerDe00
386,Alan Cross,TAM,TE,23,14,0,0,0,0,0,0,0,0,,0,10,6,38,6.33,1,0,0,1,,,10,15.8,15.8,12.8,,72,,CrosAl00
