"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","David Johnson","","","RB1","1","","","","","1.0"
"2","Le","","'Veon Bell","","","RB2","2","","","","","2.0"
"3","Antonio Brown","","","WR1","3","","","","","3.0"
"4","Julio Jones","","","WR2","4","","","","","4.0"
"5","Odell Beckham Jr.","MIA","1","WR3","5","","","","","5.2"
"6","LeSean McCoy","","","RB3","6","","","","","6.4"
"7","Mike Evans","TB","1","WR4","9","","","","","7.0"
"8","A.J. Green","","","WR5","10","","","","","8.6"
"9","Devonta Freeman","","","RB4","8","","","","","9.4"
"10","Melvin Gordon","III","","RB5","11","","","","","9.6"
"11","Jordy Nelson","","","WR6","7","","","","","10.4"
"12","Michael Thomas","","","WR7","12","","","","","12.0"
"13","Jordan Howard","","","RB6","13","","","","","14.4"
"14","DeMarco Murray","","","RB7","14","","","","","14.4"
"15","Jay Ajayi","","","RB8","15","","","","","15.0"
"16","Ezekiel Elliott","DAL","6","RB9","21","","","","","15.4"
"17","Amari Cooper","CLE","9","WR8","19","","","","","18.0"
"18","Todd Gurley","II","","RB10","18","","","","","18.6"
"19","Brandin Cooks","DAL","6","WR9","16","","","","","19.8"
"20","Rob Gronkowski","","","TE1","17","","","","","19.8"
"21","Dez Bryant","","","WR10","24","","","","","20.2"
"22","Aaron Rodgers","NYJ","11","QB1","20","","","","","22.8"
"23","Doug Baldwin","","","WR11","23","","","","","22.8"
"24","Leonard Fournette","","","RB11","26","","","","","24.8"
"25","T.Y. Hilton","","","WR12","25","","","","","26.2"
"26","Christian McCaffrey","SF","11","RB12","30","","","","","27.2"
"27","DeAndre Hopkins","TEN","8","WR13","29","","","","","28.2"
"28","Demaryius Thomas","","","WR14","32","","","","","30.2"
"29","Lamar Miller","","","RB13","27","","","","","30.6"
"30","Tom Brady","","","QB2","22","","","","","30.8"
"31","Keenan Allen","CHI","9","WR15","40","","","","","32.6"
"32","Terrelle Pryor Sr.","","","WR16","31","","","","","33.4"
"33","Isaiah Crowell","","","RB14","36","","","","","33.8"
"34","Dalvin Cook","","","RB15","42","","","","","34.2"
"35","Marshawn Lynch","","","RB16","28","","","","","35.8"
