"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"36","Travis Kelce","KC","10","TE2","41","","","","","36.0"
"37","Alshon Jeffery","","","WR17","35","","","","","37.0"
"38","Kareem Hunt","","","RB17","33","","","","","38.2"
"39","Michael Crabtree","","","WR18","37","","","","","41.0"
"40","Carlos Hyde","","","RB18","38","","","","","41.4"
"41","Davante Adams","LV","","WR19","48","","","","","41.6"
"42","Ty Montgomery","II","","RB19","45","","","","","42.0"
"43","Drew Brees","","","QB3","34","","","","","42.8"
"44","Joe Mixon","HOU","7","RB20","57","","","","","43.8"
"45","Golden Tate","","","WR20","47","","","","","46.4"
"46","Allen Robinson II","NYG","8","WR21","60","","","","","47.2"
"47","Larry Fitzgerald","","","WR22","44","","","","","47.8"
"48","Greg Olsen","","","TE3","43","","","","","48.0"
"49","Tyreek Hill","MIA","1","WR23","54","","","","","50.4"
"50","Jordan Reed","","","TE4","46","","","","","50.6"
"51","Kelvin Benjamin","","","WR24","49","","","","","51.2"
"52","Martavis Bryant","","","WR25","58","","","","","51.2"
"53","Jarvis Landry","","","WR26","52","","","","","52.8"
"54","Mark Ingram","II","","RB21","55","","","","","55.6"
"55","Matt Ryan","","","QB4","39","","","","","56.0"
"56","Stefon Diggs","HOU","7","WR27","67","","","","","56.8"
"57","Jimmy Graham","","","TE5","53","","","","","58.0"
"58","Bilal Powell","","","RB22","56","","","","","58.8"
"59","Sammy Watkins","","","WR28","63","","","","","59.0"
"60","Emmanuel Sanders","","","WR29","50","","","","","60.0"
"61","C.J. Anderson","","","RB23","69","","","","","60.8"
"62","DeVante Parker","","","WR30","71","","","","","61.4"
"63","Russell Wilson","PIT","9","QB5","51","","","","","63.8"
"64","Jamison Crowder","WAS","5","WR31","59","","","","","63.8"
"65","Ameer Abdullah","LV","","RB24","75","","","","","64.0"
"66","Brandon Marshall","","","WR32","68","","","","","67.0"
"67","Danny Woodhead","","","RB25","65","","","","","67.8"
"68","Pierre Garcon","","","WR33","70","","","","","70.0"
"69","Tevin Coleman","","","RB26","90","","","","","71.2"
"70","Kyle Rudolph","","","TE6","72","","","","","74.2"
"71","Adrian Peterson","","","RB27","62","","","","","75.4"
"72","Doug Martin","","","RB28","97","","","","","76.0"
"73","Mike Gillislee","","","RB29","77","","","","","77.8"
"74","Delanie Walker","","","TE7","66","","","","","78.4"
"75","Zach Ertz","WAS","5","TE8","82","","","","","78.4"
"76","Tyler Eifert","","","TE9","95","","","","","78.8"
"77","Frank Gore","","","RB30","64","","","","","80.8"
"78","Jameis Winston","CLE","9","QB6","89","","","","","81.4"
"79","Theo Riddick","","","RB31","81","","","","","82.8"
"80","Robert Kelley","","","RB32","78","","","","","83.6"
"81","Kirk Cousins","ATL","5","QB7","74","","","","","84.4"
"82","Paul Perkins","","","RB33","88","","","","","84.6"
"83","Jeremy Maclin","","","WR34","86","","","","","84.6"
"84","Willie Snead","IV","","WR35","119","","","","","84.8"
"85","Marcus Mariota","WAS","5","QB8","92","","","","","84.8"
"86","Derek Carr","NO","5","QB9","76","","","","","85.2"
"87","Cam Newton","","","QB10","61","","","","","86.8"
"88","DeSean Jackson","","","WR36","80","","","","","87.2"
"89","Martellus Bennett","","","TE10","85","","","","","89.8"
"90","Derrick Henry","BAL","10","RB34","130","","","","","90.0"
"91","Eric Decker","","","WR37","87","","","","","90.4"
"92","Randall Cobb","","","WR38","94","","","","","90.6"
"93","Duke Johnson Jr.","","","RB35","104","","","","","92.8"
"94","Tyrell Williams","","","WR39","112","","","","","93.0"
"95","Terrance West","","","RB36","84","","","","","95.4"
"96","Andrew Luck","","","QB11","110","","","","","99.6"
"97","Adam Thielen","CAR","11","WR40","108","","","","","100.8"
"98","Eddie Lacy","","","RB37","91","","","","","101.6"
"99","LeGarrette Blount","","","RB38","106","","","","","102.6"
"100","Darren McFadden","","","RB39","93","","","","","103.0"
"101","Chris Hogan","","","WR41","99","","","","","103.6"
"102","Ben Roethlisberger","","","QB12","102","","","","","104.0"
"103","Hunter Henry","NE","9","TE11","120","","","","","106.2"
"104","James White","","","RB40","118","","","","","107.8"
"105","Corey Coleman","","","WR42","132","","","","","109.0"
"106","Dak Prescott","DAL","6","QB13","73","","","","","109.8"
"107","Matthew Stafford","LAR","8","QB14","98","","","","","113.6"
"108","Thomas Rawls","","","RB41","124","","","","","114.2"
"109","Marvin Jones Jr.","","","WR43","137","","","","","117.2"
"110","Jonathan Stewart","","","RB42","113","","","","","117.6"
"111","Rishard Matthews","","","WR44","121","","","","","119.6"
"112","Philip Rivers","","","QB15","123","","","","","120.4"
"113","Jordan Matthews","CAR","11","WR45","136","","","","","120.6"
"114","Matt Forte","","","RB43","109","","","","","121.4"
"115","Eric Ebron","","","TE12","154","","","","","121.6"
"116","Darren Sproles","","","RB44","122","","","","","121.6"
"117","John Brown","","","WR46","149","","","","","121.8"
"118","Donte Moncrief","","","WR47","103","","","","","84.0"
"119","Jack Doyle","","","TE13","133","","","","","127.4"
"120","Stephen Gostkowski","","","K1","96","","","","","127.8"
"121","Justin Tucker","BAL","10","K2","100","","","","","128.4"
"122","C.J. Prosise","","","RB45","153","","","","","129.4"
"123","Jacquizz Rodgers","","","RB46","146","","","","","131.0"
"124","Ted Ginn Jr.","","","WR48","128","","","","","131.4"
"125","Eli Manning","","","QB16","127","","","","","137.2"
"126","Jason Witten","","","TE14","117","","","","","138.0"
"127","Andy Dalton","CAR","11","QB17","141","","","","","138.4"
"128","Kevin White","","","WR49","145","","","","","138.8"
"129","Jamaal Charles","","","RB47","161","","","","","140.4"
"130","Kenny Britt","","","WR50","111","","","","","106.3"
"131","Mike Wallace","","","WR51","101","","","","","108.3"
"132","Cooper Kupp","LAR","8","WR52","162","","","","","144.4"
"133","Austin Hooper","NE","9","TE15","159","","","","","145.0"
"134","Rex Burkhead","","","RB48","174","","","","","145.4"
"135","Denver Broncos","DST","5","DST1","83","","","","","112.0"
"136","Carson Palmer","","","QB18","142","","","","","149.2"
"137","Jeremy Hill","","","RB49","176","","","","","150.2"
"138","Corey Davis","","","WR53","140","","","","","117.3"
"139","Zay Jones","ARI","8","WR54","125","","","","","128.3"
"140","Samaje Perine","DEN","5","RB50","","","","","","129.8"
"141","Jamaal Williams","NO","5","RB51","","","","","","135.3"
"142","Alvin Kamara","NO","5","RB52","183","","","","","167.4"
"143","Matt Bryant","","","K3","114","","","","","139.8"
"144","O.J. Howard","","","TE16","152","","","","","144.0"
"145","Dan Bailey","","","K4","131","","","","","145.3"
"146","Giovani Bernard","","","RB53","138","","","","","146.0"
"147","Carson Wentz","KC","10","QB19","135","","","","","146.3"
"148","Sterling Shepard","TB","1","WR55","170","","","","","146.8"
"149","Coby Fleener","","","TE17","156","","","","","149.8"
"150","Seattle Seahawks","DST","6","DST2","79","","","","","109.3"
"151","Cole Beasley","","","WR56","150","","","","","153.8"
"152","Latavius Murray","","","RB54","165","","","","","156.8"
"153","Tyler Lockett","SEA","6","WR57","167","","","","","160.0"
"154","New York Giants","DST","8","DST3","171","","","","","160.3"
"155","Evan Engram","JAC","8","TE18","151","","","","","160.3"
"156","Tyrod Taylor","NYJ","11","QB20","164","","","","","162.3"
"157","Kansas City Chiefs","DST","10","DST4","107","","","","","123.0"
"158","Houston Texans","DST","7","DST5","105","","","","","123.3"
"159","Julius Thomas","","","TE19","160","","","","","163.8"
"160","Mason Crosby","","","K5","157","","","","","166.3"
"161","Josh Doctson","","","WR58","185","","","","","166.3"
"162","Cameron Brate","","","TE20","158","","","","","170.3"
"163","Wendell Smallwood","","","RB55","","","","","","171.5"
"164","Taylor Gabriel","","","WR59","169","","","","","172.3"
"165","Minnesota Vikings","DST","9","DST6","116","","","","","136.3"
"166","Arizona Cardinals","DST","8","DST7","129","","","","","139.3"
"167","New England Patriots","DST","9","DST8","134","","","","","140.3"
"168","Antonio Gates","","","TE21","143","","","","","177.0"
"169","Shane Vereen","","","RB56","193","","","","","177.5"
"170","Robbie Chosen","","","WR60","","","","","","144.7"
"171","Carolina Panthers","DST","11","DST9","115","","","","","145.7"
"172","Mohamed Sanu Sr.","","","WR61","163","","","","","180.5"
"173","Adam Vinatieri","","","K6","126","","","","","147.3"
"174","Kenny Stills","","","WR62","186","","","","","181.8"
"175","Joe Flacco","IND","11","QB21","144","","","","","183.8"
"176","Kendall Wright","","","WR63","191","","","","","186.0"
"177","Danny Amendola","","","WR64","147","","","","","192.3"
"178","Marqise","Lee","","WR65","196","","","","","190.8"
"179","Chris Thompson","","","RB57","177","","","","","191.8"
"180","Kenny Golladay","","","WR66","","","","","","161.7"
"181","John Ross","PHI","10","WR67","","","","","","162.3"
"182","Matt Prater","ARI","8","K7","166","","","","","172.3"
"183","Pittsburgh Steelers","DST","9","DST10","139","","","","","173.3"
"184","Wil Lutz","DEN","5","K8","195","","","","","176.3"
"185","Jared Cook","","","TE22","148","","","","","206.0"
"186","Charles Sims","","","RB58","197","","","","","206.3"
"187","Jacksonville Jaguars","DST","8","DST11","173","","","","","181.3"
"188","Marlon Mack","","","RB59","","","","","","183.0"
"189","Torrey Smith","","","WR68","178","","","","","209.5"
"190","D'Onta Foreman","CLE","9","RB60","","","","","","186.0"
"191","Cairo Santos","CHI","9","K9","192","","","","","189.7"
"192","Los Angeles Rams","DST","8","DST12","181","","","","","190.0"
"193","Breshad Perriman","","","WR69","","","","","","192.0"
"194","Jay Cutler","","","QB22","","","","","","192.7"
"195","Baltimore Ravens","DST","10","DST13","168","","","","","193.0"
"196","Dion Lewis","","","RB61","","","","","","193.0"
"197","Philadelphia Eagles","DST","10","DST14","182","","","","","194.7"
"198","DeAndre Washington","","","RB62","","","","","","195.3"
"199","J.J. Nelson","","","WR70","","","","","","196.3"
"200","James Conner","ARI","8","RB63","","","","","","196.3"
"201","Atlanta Falcons","DST","5","DST15","155","","","","","197.0"
"202","Charcandrick West","","","RB64","187","","","","","218.8"
"203","Sebastian Janikowski","","","K10","172","","","","","198.0"
"204","Sam Bradford","","","QB23","","","","","","198.0"
"205","Dustin Hopkins","CLE","9","K11","188","","","","","198.7"
"206","Malcolm Mitchell","","","WR71","","","","","","201.0"
"207","C.J. Fiedorowicz","","","TE23","","","","","","203.7"
"208","David Njoku","CLE","9","TE24","","","","","","204.0"
"209","Brandon LaFell","","","WR72","","","","","","204.7"
"210","Allen Hurns","","","WR73","","","","","","205.7"
"211","Devin Funchess","","","WR74","","","","","","207.0"
"212","Julian Edelman","","","WR75","","","","","","212.0"
"213","Jonathan Williams","","","RB65","","","","","","171.5"
"214","Spencer Ware","","","RB66","","","","","","217.0"
"215","Jalen Richard","","","RB67","","","","","","210.3"
"216","Deshaun Watson","CLE","9","QB24","","","","","","210.7"
"217","Joe Williams","","","RB68","","","","","","174.5"
"218","Robert Woods","HOU","7","WR76","","","","","","211.0"
"219","Chris Carson","","","RB69","","","","","","211.7"
"220","Cincinnati Bengals","DST","6","DST16","184","","","","","213.7"
"221","T.J. Yeldon","","","RB70","","","","","","214.7"
"222","Cameron Meredith","","","WR77","","","","","","224.5"
"223","Los Angeles Chargers","DST","9","DST17","175","","","","","216.3"
"224","Blair Walsh","","","K12","180","","","","","216.3"
"225","De","","'Angelo Henderson Sr.","","","RB71","","","","","","218.0"
"226","ArDarius Stewart","","","WR78","","","","","","218.3"
"227","Chris Boswell","PIT","9","K13","189","","","","","218.3"
"228","Mike Williams","NYJ","11","WR79","","","","","","218.7"
"229","Devontae Booker","","","RB72","","","","","","225.3"
"230","Tavon Austin","","","WR80","","","","","","225.7"
"231","Graham Gano","NYG","8","K14","","","","","","197.0"
"232","Jesse James","","","TE25","","","","","","197.5"
"233","Tarik Cohen","NYJ","11","RB73","","","","","","226.3"
"234","William Fuller","V","","WR81","","","","","","226.7"
"235","Matt Breida","","","RB74","","","","","","228.7"
"236","Jaron Brown","","","WR82","","","","","","229.7"
"237","Branden Oliver","","","RB75","","","","","","230.3"
"238","Curtis Samuel","BUF","6","WR83","","","","","","230.3"
"239","Charles Clay","","","TE26","","","","","","234.7"
"240","Austin Seferian-Jenkins","","","TE27","","","","","","230.7"
"241","Paul Richardson Jr.","","","WR84","","","","","","230.7"
"242","Chris Conley","SF","11","WR85","","","","","","231.0"
"243","Stephen Hauschka","","","K15","","","","","","207.0"
"244","Kenyan Drake","","","RB76","","","","","","207.0"
"245","Alex Smith","","","QB25","","","","","","234.0"
"246","Kyle Juszczyk","SF","11","RB77","","","","","","234.0"
"247","Caleb Sturgis","","","K16","194","","","","","236.0"
"248","Zach Zenner","","","RB78","","","","","","214.5"
"249","Dwayne Allen","","","TE28","","","","","","239.0"
"250","Brandon McManus","","","K17","","","","","","217.5"
"251","Chris Ivory","","","RB79","","","","","","218.5"
"252","Jimmy Garoppolo","LAR","8","QB26","","","","","","219.0"
"253","Kerwynn Williams","","","RB80","","","","","","222.5"
"254","Robert Turbin","","","RB81","","","","","","245.3"
"255","Vance McDonald","","","TE29","","","","","","258.3"
"256","Nelson Agholor","BAL","10","WR86","","","","","","245.3"
"257","Blake Bortles","","","QB27","","","","","","251.7"
"258","Chris Godwin","TB","1","WR87","","","","","","229.0"
"259","Mitchell Trubisky","BUF","6","QB28","","","","","","230.0"
"260","Harrison Butker","KC","10","K18","179","","","","","179.0"
"261","Dede Westbrook","","","WR88","","","","","","232.5"
"262","Tyler Higbee","LAR","8","TE30","","","","","","233.0"
"263","Brian Hoyer","","","QB29","","","","","","258.7"
"264","Carlos Henderson","","","WR89","","","","","","185.0"
"265","Alfred Morris","","","RB82","","","","","","251.7"
"266","Younghoe Koo","ATL","5","K19","190","","","","","190.0"
"267","Javorius Allen","","","RB83","","","","","","253.0"
"268","Laquon Treadwell","","","WR90","","","","","","238.0"
"269","JuJu Smith-Schuster","NE","9","WR91","","","","","","238.0"
"270","Benjamin Watson","","","TE31","","","","","","239.5"
"271","C.J. Spiller","","","RB84","","","","","","196.0"
"272","Zach Miller","","","TE32","","","","","","259.0"
"273","DeShone Kizer","","","QB30","","","","","","264.0"
"274","Tampa Bay Buccaneers","DST","1","DST18","","","","","","244.5"
"275","Trevor Siemian","","","QB31","","","","","","257.7"
"276","Travis Benjamin","","","WR92","","","","","","264.7"
"277","Tim Hightower","","","RB85","","","","","","245.0"
"278","Jerick McKinnon","","","RB86","","","","","","245.5"
"279","Las Vegas Raiders","DST","","DST19","","","","","","245.5"
"280","Jared Goff","DET","7","QB32","","","","","","256.0"
"281","Brandon Coleman","","","WR93","","","","","","212.0"
"282","George Kittle","SF","11","TE33","","","","","","248.0"
"283","Kasen Williams","","","WR94","","","","","","213.0"
"284","Aaron Jones","MIN","9","RB87","","","","","","248.5"
"285","Chandler Catanzaro","","","K20","","","","","","265.5"
"286","Tyler Boyd","TEN","8","WR95","","","","","","250.0"
"287","Donnel Pumphrey","","","RB88","","","","","","218.0"
"288","Marquise Goodwin","","","WR96","","","","","","251.5"
"289","Tennessee Titans","DST","8","DST20","","","","","","251.5"
"290","Josh Gordon","","","WR97","","","","","","251.5"
"291","Bruce Ellington","","","WR98","","","","","","220.0"
"292","Chester Rogers","","","WR99","","","","","","221.0"
"293","Ryan Switzer","","","WR100","","","","","","223.0"
"294","Orleans Darkwa","","","RB89","","","","","","263.7"
"295","Geronimo Allison","","","WR101","","","","","","230.0"
"296","Jermaine Kearse","","","WR102","","","","","","257.5"
"297","Gerald Everett","CHI","9","TE34","","","","","","258.5"
"298","Matt Jones","","","RB90","","","","","","262.0"
"299","Alex Erickson","","","WR103","","","","","","237.0"
"300","Matt Asiata","","","RB91","","","","","","238.0"
"301","Chris Johnson","","","RB92","","","","","","242.0"
"302","Josh McCown","","","QB33","","","","","","243.0"
"303","Phillip Dorsett II","DEN","5","WR104","","","","","","268.5"
"304","Nick Folk","TEN","8","K21","","","","","","246.0"
"305","Jermaine Gresham","","","TE35","","","","","","246.0"
"306","Wayne Gallman Jr.","","","RB93","","","","","","248.0"
"307","Andre Roberts","","","WR105","","","","","","250.0"
"308","Green Bay Packers","DST","8","DST21","","","","","","252.0"
"309","Ryan Mathews","","","RB94","","","","","","252.0"
"310","Jeremy Kerley","","","WR106","","","","","","278.0"
"311","Cordarrelle Patterson","PIT","9","RB95","","","","","","256.0"
"312","Patrick Mahomes II","KC","10","QB34","","","","","","270.0"
"313","Tajae Sharpe","","","WR107","","","","","","258.0"
"314","Jeremy McNichols","WAS","5","RB96","","","","","","258.0"
"315","Deonte Thompson","","","WR108","","","","","","260.0"
"316","Brandon Tate","","","WR109","","","","","","261.0"
"317","Braxton Miller","","","WR110","","","","","","263.0"
"318","New York Jets","DST","11","DST22","","","","","","265.0"
"319","Eli Rogers","","","WR111","","","","","","292.0"
"320","Taywan Taylor","","","WR112","","","","","","310.5"
"321","Erik Swoope","","","TE36","","","","","","268.0"
"322","Dwayne Washington","DEN","5","RB97","","","","","","299.5"
"323","Markus Wheaton","","","WR113","","","","","","269.0"
"324","Vernon Davis","","","TE37","","","","","","292.0"
"325","Buffalo Bills","DST","6","DST23","","","","","","270.0"
"326","Kamar Aiken","","","WR114","","","","","","271.0"
"327","Terrance Williams","","","WR115","","","","","","281.5"
"328","Daniel Lasco","","","RB98","","","","","","272.0"
"329","Miami Dolphins","DST","1","DST24","","","","","","273.0"
"330","Ladarius Green","","","TE38","","","","","","273.0"
"331","Aldrick Rosas","","","K22","","","","","","275.0"
"332","Dallas Cowboys","DST","6","DST25","","","","","","276.0"
"333","Dennis Pitta","","","TE39","","","","","","276.0"
"334","Cleveland Browns","DST","9","DST26","","","","","","277.0"
"335","Chicago Bears","DST","9","DST27","","","","","","278.0"
"336","Zane Gonzalez","","","K23","","","","","","278.0"
"337","San Francisco 49ers","DST","11","DST28","","","","","","279.0"
"338","Phil Dawson","","","K24","","","","","","279.0"
"339","Washington Commanders","DST","5","DST29","","","","","","280.0"
"340","Indianapolis Colts","DST","11","DST30","","","","","","281.0"
"341","Detroit Lions","DST","7","DST31","","","","","","282.0"
"342","Josh Lambo","","","K25","","","","","","282.0"
"343","New Orleans Saints","DST","5","DST32","","","","","","283.0"
"344","Tom Savage","","","QB35","","","","","","285.0"
"345","Nick Novak","","","K26","","","","","","286.0"
"346","Mike Glennon","","","QB36","","","","","","287.0"
"347","DeAngelo Williams","","","RB99","","","","","","289.0"
"348","Kenjon Barner","","","RB100","","","","","","293.0"
"349","Dontrelle Inman","","","WR116","","","","","","296.0"
"350","Matt Barkley","","","QB37","","","","","","298.0"
"351","Victor Cruz","","","WR117","","","","","","299.0"
"352","James Starks","","","RB101","","","","","","301.0"
"353","Roberto Aguayo","","","K27","","","","","","304.0"
"354","Michael Floyd","","","WR118","","","","","","306.0"
"355","Damien Williams","","","RB102","","","","","","307.0"
"356","Seth Roberts","","","WR119","","","","","","308.0"
"357","Brock Osweiler","","","QB38","","","","","","309.0"
"358","Adam Humphries","","","WR120","","","","","","311.0"
"359","Cody Kessler","","","QB39","","","","","","312.0"
"360","Paxton Lynch","","","QB40","","","","","","313.0"
"361","Christine Michael","","","RB103","","","","","","314.0"
"362","Sammie Coates","","","WR121","","","","","","316.0"
"363","Ryan Succop","","","K28","","","","","","317.0"
"364","Cameron Artis-Payne","","","RB104","","","","","","320.0"
"365","Kai Forbath","LAR","8","K29","","","","","","321.0"
"366","Shaun Draughn","","","RB105","","","","","","322.0"
"367","Colin Kaepernick","","","QB41","","","","","","323.0"
"368","De","","'Anthony Thomas","","","WR122","","","","","","325.0"
"369","Robbie Gould","","","K30","","","","","","326.0"
"370","Kenneth Dixon","","","RB106","","","","","","327.0"
"371","Dorial Green-Beckham","","","WR123","","","","","","329.0"
"372","Ryan Tannehill","","","QB42","","","","","","330.0"
"373","Rico Gathers","","","TE40","","","","","","332.0"
"374","Derrick Coleman","","","RB107","","","","","","333.0"
"375","Kyle Brindza","","","K31","","","","","","334.0"
"376","Quincy Enunwa","","","WR124","","","","","","335.0"
"377","Greg Zuerlein","NYJ","11","K32","","","","","","336.0"
"378","Mack Hollins","BUF","6","WR125","","","","","","337.0"
"379","Seth DeValve","","","TE41","","","","","","338.0"
"380","Dion Sims","","","TE42","","","","","","339.0"
"381","Adam Shaheen","","","TE43","","","","","","340.0"
"382","Andrew Franks","","","K33","","","","","","341.0"
"383","Mike Tolbert","","","RB108","","","","","","342.0"
"384","Elijah McGuire","","","RB109","","","","","","343.0"
"385","Aaron Hernandez","","","TE44","","","","","","344.0"
"386","Nick Boyle","","","TE45","","","","","","345.0"
"387","Corey Clement","","","RB110","","","","","","346.0"
"388","Rod Smith","","","RB111","","","","","","347.0"
"389","Alfred Blue","","","RB112","","","","","","348.0"
"390","Benny Cunningham Jr.","","","RB113","","","","","","349.0"
"391","Andre Holmes","","","WR126","","","","","","350.0"
"392","Jakeem Grant Sr.","","","WR127","","","","","","351.0"
"393","Jake Butt","","","TE46","","","","","","352.0"
"394","Dwayne Harris","","","WR128","","","","","","353.0"
"395","Malcolm Brown","","","RB114","","","","","","354.0"
"396","Matt Moore","","","QB43","","","","","","356.0"
"397","Charone Peake","","","WR129","","","","","","357.0"
"398","Jaelen Strong","","","WR130","","","","","","358.0"
"399","David Fluellen","","","RB115","","","","","","359.0"
"400","Maxx Williams","","","TE47","","","","","","360.0"
"401","J.D. McKissic","","","RB116","","","","","","361.0"
"402","Jordan Leggett","","","TE48","","","","","","362.0"
"403","Tyler Ervin","","","RB117","","","","","","363.0"
"404","Trent Taylor","SF","11","WR131","","","","","","364.0"
"405","Jonnu Smith","MIA","1","TE49","","","","","","365.0"
"406","Ryan Griffin","","","TE50","","","","","","366.0"
"407","Ka'imi Fairbairn","HOU","7","K34","","","","","","367.0"
"408","Michael Campanaro","","","WR132","","","","","","368.0"
"409","Albert Wilson","","","WR133","","","","","","369.0"
""
""
