"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"42","Carlos Hyde","","","RB17","","","","","","43.3"
"43","Greg Olsen","","","TE3","","","","","","44.5"
"44","DeMarco Murray","","","RB18","","","","","","45.0"
"45","Golden Tate","","","WR22","","","","","","45.3"
"46","Kelvin Benjamin","","","WR23","","","","","","46.3"
"47","Donte Moncrief","","","WR24","","","","","","46.5"
"48","Eric Decker","","","WR25","","","","","","49.0"
"49","Jeremy Langford","","","RB19","","","","","","49.5"
"50","Doug Baldwin","","","WR26","","","","","","51.8"
"51","Russell Wilson","PIT","8","QB3","","","","","","53.5"
"52","Andrew Luck","","","QB4","","","","","","53.5"
"53","Danny Woodhead","","","RB20","","","","","","55.8"
"54","Travis Kelce","KC","5","TE4","","","","","","57.5"
"55","Larry Fitzgerald","","","WR27","","","","","","57.5"
"56","Michael Floyd","","","WR28","","","","","","58.5"
"57","Jeremy Hill","","","RB21","","","","","","59.8"
"58","Jordan Matthews","CAR","7","WR29","","","","","","60.8"
"59","Delanie Walker","","","TE5","","","","","","61.8"
"60","Drew Brees","","","QB5","","","","","","61.8"
"61","Giovani Bernard","","","RB22","","","","","","62.0"
"62","Melvin Gordon","III","","RB23","","","","","","64.5"
"63","Duke Johnson Jr.","","","RB24","","","","","","64.8"
"64","Ryan Mathews","","","RB25","","","","","","64.8"
"65","Marvin Jones Jr.","","","WR30","","","","","","65.8"
"66","Coby Fleener","","","TE6","","","","","","66.0"
"67","Arian Foster","","","RB26","","","","","","66.5"
"68","Emmanuel Sanders","","","WR31","","","","","","67.0"
"69","Allen Hurns","","","WR32","","","","","","69.5"
"70","Ben Roethlisberger","","","QB6","","","","","","70.0"
"71","Jonathan Stewart","","","RB27","","","","","","70.0"
"72","John Brown","","","WR33","","","","","","70.8"
"73","Tom Brady","","","QB7","","","","","","72.3"
"74","Tyler Lockett","SEA","5","WR34","","","","","","72.8"
"75","Josh Gordon ","","","WR35","","","","","","76.3"
"76","Matt Jones","","","RB28","","","","","","76.3"
"77","Michael Crabtree","","","WR36","","","","","","76.8"
"78","Frank Gore","","","RB29","","","","","","78.5"
"79","Carson Palmer","","","QB8","","","","","","80.3"
"80","Zach Ertz","WAS","9","TE7","","","","","","80.5"
"81","DeSean Jackson","","","WR37","","","","","","83.3"
"82","DeAngelo Williams","","","RB30","","","","","","84.5"
"83","Gary Barnidge","","","TE8","","","","","","84.8"
"84","Ameer Abdullah","LV","","RB31","","","","","","84.8"
"85","Rashad Jennings","","","RB32","","","","","","87.3"
"86","DeVante Parker","","","WR38","","","","","","88.5"
"87","Julius Thomas","","","TE9","","","","","","90.8"
"88","Sterling Shepard","TB","6","WR39","","","","","","91.0"
"89","Charles Sims","","","RB33","","","","","","91.0"
"90","Blake Bortles","","","QB9","","","","","","92.3"
"91","Derrick Henry","BAL","8","RB34","","","","","","92.5"
"92","Eli Manning","","","QB10","","","","","","92.8"
"93","T.J. Yeldon","","","RB35","","","","","","93.3"
"94","Chris Ivory","","","RB36","","","","","","93.5"
"95","Antonio Gates","","","TE10","","","","","","94.5"
"96","Kevin White","","","WR40","","","","","","94.8"
"97","Willie Snead","IV","","WR41","","","","","","95.5"
"98","Stefon Diggs","HOU","9","WR42","","","","","","97.3"
"99","Theo Riddick","","","RB37","","","","","","100.0"
"100","Philip Rivers","","","QB11","","","","","","102.5"
"101","LeGarrette Blount","","","RB38","","","","","","108.3"
"102","Bilal Powell","","","RB39","","","","","","110.3"
"103","Derek Carr","NO","5","QB12","","","","","","111.3"
"104","Isaiah Crowell","","","RB40","","","","","","111.3"
"105","Kamar Aiken","","","WR43","","","","","","112.8"
"106","Martellus Bennett","","","TE11","","","","","","113.3"
"107","Travis Benjamin","","","WR44","","","","","","115.8"
"108","Tavon Austin","","","WR45","","","","","","116.0"
"109","Corey Coleman","","","WR46","","","","","","117.0"
"110","Tyler Eifert ","","","TE12","","","","","","117.5"
"111","Devin Funchess","","","WR47","","","","","","118.0"
"112","Tevin Coleman","","","RB41","","","","","","118.0"
"113","Jay Ajayi","","","RB42","","","","","","118.0"
"114","Vincent Jackson","","","WR48","","","","","","118.5"
"115","Dwayne Allen","","","TE13","","","","","","120.0"
"116","Kirk Cousins","ATL","11","QB13","","","","","","120.5"
"117","Justin Forsett","","","RB43","","","","","","122.0"
"118","Torrey Smith","","","WR49","","","","","","123.3"
"119","Stephen Gostkowski","","","K1","","","","","","124.8"
"120","Markus Wheaton","","","WR50","","","","","","125.5"
"121","Darren Sproles","","","RB44","","","","","","125.5"
"122","Tyrod Taylor","NYJ","11","QB14","","","","","","128.3"
"123","Jimmy Graham","","","TE14","","","","","","129.5"
"124","Tajae Sharpe","","","WR51","","","","","","129.5"
"125","James White","","","RB45","","","","","","129.8"
"126","Jameis Winston","CLE","13","QB15","","","","","","129.8"
"127","Matthew Stafford","LAR","8","QB16","","","","","","130.0"
"128","Michael Thomas","","","WR52","","","","","","132.0"
"129","Dion Lewis","","","RB46","","","","","","134.5"
"130","Jason Witten","","","TE15","","","","","","136.0"
"131","Mohamed Sanu Sr.","","","WR53","","","","","","138.0"
"132","Eric Ebron","","","TE16","","","","","","139.5"
"133","Jared Cook","","","TE17","","","","","","141.0"
"134","Stephen Hauschka","","","K2","","","","","","142.0"
"135","Spencer Ware","","","RB47","","","","","","143.0"
"136","Shane Vereen","","","RB48","","","","","","145.3"
"137","Phillip Dorsett II","DEN","11","WR54","","","","","","146.5"
"138","Devontae Booker","","","RB49","","","","","","147.5"
"139","Jerick McKinnon","","","RB50","","","","","","147.8"
"140","Christine Michael","","","RB51","","","","","","148.8"
"141","Zach Miller","","","TE18","","","","","","150.5"
"142","DeAndre Washington","","","RB52","","","","","","152.3"
"143","Alfred Morris","","","RB53","","","","","","153.0"
"144","Marcus Mariota","WAS","9","QB17","","","","","","153.3"
"145","Denver Broncos","DST","11","DST1","","","","","","97.7"
"146","Rishard Matthews","","","WR55","","","","","","154.0"
"147","Andy Dalton","CAR","7","QB18","","","","","","154.0"
"148","Tyler Boyd","TEN","13","WR56","","","","","","154.5"
"149","Matt Ryan","","","QB19","","","","","","155.3"
"150","Justin Tucker","BAL","8","K3","","","","","","157.0"
"151","Steve Smith","","","WR57","","","","","","157.0"
"152","Chris Hogan","","","WR58","","","","","","159.5"
"153","Graham Gano","NYG","8","K4","","","","","","160.3"
"154","James Starks","","","RB54","","","","","","160.3"
"155","Chandler Catanzaro","","","K5","","","","","","161.3"
"156","Seattle Seahawks","DST","5","DST2","","","","","","109.0"
"157","Arizona Cardinals","DST","9","DST3","","","","","","111.0"
"158","William Fuller","V","","WR59","","","","","","164.5"
"159","Ryan Tannehill","","","QB20","","","","","","165.5"
"160","Dorial Green-Beckham","","","WR60","","","","","","167.3"
"161","Terrance West","","","RB55","","","","","","168.5"
"162","Mike Wallace","","","WR61","","","","","","168.8"
"163","Carolina Panthers","DST","7","DST4","","","","","","119.7"
"164","Dan Bailey","","","K6","","","","","","173.8"
"165","Pierre Garcon","","","WR62","","","","","","174.0"
"166","Chris Johnson","","","RB56","","","","","","176.0"
"167","Mason Crosby","","","K7","","","","","","177.0"
"168","Kenny Stills","","","WR63","","","","","","179.3"
"169","Virgil Green","","","TE19","","","","","","180.0"
"170","Brandon McManus","","","K8","","","","","","181.0"
"171","Terrelle Pryor Sr.","","","WR64","","","","","","184.8"
"172","Ryan Fitzpatrick","","","QB21","","","","","","185.3"
"173","Kenneth Dixon","","","RB57","","","","","","185.5"
"174","Ted Ginn Jr.","","","WR65","","","","","","185.8"
"175","Houston Texans","DST","9","DST5","","","","","","141.7"
"176","Laquon Treadwell","","","WR66","","","","","","142.0"
"177","Dak Prescott","DAL","7","QB22","","","","","","187.0"
"178","Kansas City Chiefs","DST","5","DST6","","","","","","144.3"
"179","Victor Cruz","","","WR67","","","","","","192.0"
"180","Robert Griffin","III","","QB23","","","","","","194.0"
"181","Minnesota Vikings","DST","6","DST7","","","","","","154.3"
"182","Sammie Coates","","","WR68","","","","","","156.3"
"183","Chris Thompson","","","RB58","","","","","","161.7"
"184","Charles Clay","","","TE20","","","","","","162.0"
"185","Los Angeles Rams","DST","8","DST8","","","","","","162.3"
"186","Austin Seferian-Jenkins","","","TE21","","","","","","163.7"
"187","C.J. Prosise","","","RB59","","","","","","164.7"
"188","Brock Osweiler","","","QB24","","","","","","205.8"
"189","New England Patriots","DST","9","DST9","","","","","","170.3"
"190","Javorius Allen","","","RB60","","","","","","172.7"
"191","Ladarius Green","","","TE22","","","","","","175.3"
"192","Cincinnati Bengals","DST","9","DST10","","","","","","177.3"
"193","Adam Vinatieri","","","K9","","","","","","178.0"
"194","New York Jets","DST","11","DST11","","","","","","179.3"
"195","Blair Walsh","","","K10","","","","","","181.3"
"196","Charcandrick West","","","RB61","","","","","","185.7"
"197","Clive Walford","","","TE23","","","","","","186.3"
"198","Las Vegas Raiders","DST","","DST12","","","","","","195.7"
"199","Jordan Howard","","","RB62","","","","","","197.0"
"200","Cairo Santos","CHI","9","K11","","","","","","198.3"
"201","Green Bay Packers","DST","4","DST13","","","","","","199.7"
"202","Buffalo Bills","DST","10","DST14","","","","","","199.7"
"203","Philadelphia Eagles","DST","4","DST15","","","","","","200.7"
"204","Jesse James","","","TE24","","","","","","202.7"
"205","Jordan Cameron","","","TE25","","","","","","203.0"
"206","Joe Flacco","IND","10","QB25","","","","","","204.3"
"207","Kendall Wright","","","WR69","","","","","","204.7"
"208","Nelson Agholor","BAL","8","WR70","","","","","","205.7"
"209","Terrance Williams","","","WR71","","","","","","205.7"
"210","Josh Ferguson","","","RB63","","","","","","206.3"
"211","Kyle Rudolph","","","TE26","","","","","","206.3"
"212","C.J. Spiller","","","RB64","","","","","","208.0"
"213","Anquan Boldin","","","WR72","","","","","","208.3"
"214","Wendell Smallwood","","","RB65","","","","","","209.0"
"215","Breshad Perriman","","","WR73","","","","","","209.3"
"216","Sebastian Janikowski","","","K12","","","","","","210.0"
"217","Josh Doctson","","","WR74","","","","","","211.0"
"218","Eli Rogers","","","WR75","","","","","","211.0"
"219","Chris Boswell","PIT","8","K13","","","","","","212.7"
"220","Trevor Siemian","","","QB26","","","","","","214.0"
"221","Jaelen Strong","","","WR76","","","","","","215.0"
"222","Shaun Draughn","","","RB66","","","","","","215.7"
"223","Tyler Gaffney","","","RB67","","","","","","217.3"
"224","Darren McFadden","","","RB68","","","","","","218.3"
"225","Paul Perkins","","","RB69","","","","","","218.7"
"226","Vance McDonald","","","TE27","","","","","","218.7"
"227","Robert Kelley","","","RB70","","","","","","218.7"
"228","Jay Cutler","","","QB27","","","","","","221.7"
"229","Davante Adams","LV","","WR77","","","","","","222.7"
"230","Charles Johnson","","","WR78","","","","","","223.3"
"231","Tim Hightower","","","RB71","","","","","","224.3"
"232","Keith Marshall","","","RB72","","","","","","225.0"
"233","Tony Romo","","","QB28","","","","","","180.0"
"234","Alex Smith","","","QB29","","","","","","227.7"
"235","Kenjon Barner","","","RB73","","","","","","227.7"
"236","Karlos Williams","","","RB74","","","","","","229.0"
"237","Ronnie Hillman","","","RB75","","","","","","231.7"
"238","Quinton Patton","","","WR79","","","","","","233.3"
"239","Robert Woods","HOU","9","WR80","","","","","","234.7"
"240","Braxton Miller","","","WR81","","","","","","235.3"
"241","Matt Prater","ARI","9","K14","","","","","","235.7"
"242","Jamison Crowder","WAS","9","WR82","","","","","","237.7"
"243","Dan Carpenter","","","K15","","","","","","196.5"
"244","Cameron Artis-Payne","","","RB76","","","","","","238.7"
"245","Will","Tye","","TE28","","","","","","239.3"
"246","Malcolm Mitchell","","","WR83","","","","","","241.0"
"247","Jermaine Kearse","","","WR84","","","","","","242.0"
"248","Carson Wentz","KC","5","QB30","","","","","","243.0"
"249","Pittsburgh Steelers","DST","8","DST16","","","","","","210.0"
"250","Danny Amendola","","","WR85","","","","","","249.0"
"251","Andre Ellington","","","RB77","","","","","","249.3"
"252","Kenyan Drake","","","RB78","","","","","","249.7"
"253","Benjamin Watson","","","TE29","","","","","","215.5"
"254","Justin Hardy","","","WR86","","","","","","217.0"
"255","Zach Zenner","","","RB79","","","","","","252.7"
"256","Benny Cunningham Jr.","","","RB80","","","","","","254.7"
"257","Brandon LaFell","","","WR87","","","","","","254.7"
"258","Sam Bradford","","","QB31","","","","","","255.0"
"259","Pharoh Cooper","","","WR88","","","","","","255.7"
"260","Tyler Higbee","LAR","8","TE30","","","","","","256.3"
"261","Lance Dunbar","","","RB81","","","","","","225.0"
"262","Jacob Tamme","","","TE31","","","","","","274.3"
"263","Jonathan Williams","","","RB82","","","","","","259.3"
"264","New York Giants","DST","8","DST17","","","","","","229.0"
"265","Cameron Brate","","","TE32","","","","","","260.7"
"266","Richard Rodgers","","","TE33","","","","","","263.0"
"267","Bruce Ellington","","","WR89","","","","","","234.5"
"268","Jimmy Garoppolo","LAR","8","QB32","","","","","","286.0"
"269","Reggie Bush","","","RB83","","","","","","264.7"
"270","Marqise","Lee","","WR90","","","","","","240.5"
"271","Kenny Britt","","","WR91","","","","","","268.3"
"272","Rueben Randle","","","WR92","","","","","","242.0"
"273","Tyler Ervin","","","RB84","","","","","","269.0"
"274","Hunter Henry","NE","9","TE34","","","","","","281.7"
"275","Chris Conley","SF","8","WR93","","","","","","270.0"
"276","J.J. Nelson","","","WR94","","","","","","273.0"
"277","Robert Turbin","","","RB85","","","","","","273.0"
"278","Ka","","'Deem Carey","","","RB86","","","","","","250.0"
"279","Blaine Gabbert","","","QB33","","","","","","274.0"
"280","Larry Donnell","","","TE35","","","","","","250.5"
"281","Jeff Janis","","","WR95","","","","","","251.0"
"282","Jace Amaro","","","TE36","","","","","","288.0"
"283","Jerell Adams","","","TE37","","","","","","292.0"
"284","Alfred Blue","","","RB87","","","","","","253.5"
"285","Mike Gillislee","","","RB88","","","","","","278.7"
"286","Teddy Bridgewater","","","QB34","","","","","","257.5"
"287","Brandon Coleman","","","WR96","","","","","","259.0"
"288","Paxton Lynch","","","QB35","","","","","","302.0"
"289","Cole Beasley","","","WR97","","","","","","283.0"
"290","Tyler Kroft","","","TE38","","","","","","332.5"
"291","Seth Roberts","","","WR98","","","","","","284.7"
"292","Alex Collins","","","RB89","","","","","","266.5"
"293","Andre Johnson","","","WR99","","","","","","269.0"
"294","Crockett Gillmore","","","TE39","","","","","","271.0"
"295","Tyrell Williams","","","WR100","","","","","","290.3"
"296","Antonio Andrews","","","RB90","","","","","","275.0"
"297","Jared Goff","DET","10","QB36","","","","","","319.0"
"298","Jacksonville Jaguars","DST","5","DST18","","","","","","374.5"
"299","Daniel Lasco","","","RB91","","","","","","280.5"
"300","DeAndre Smelter","","","WR101","","","","","","242.0"
"301","Jared Abbrederis","","","WR102","","","","","","282.0"
"302","Eddie Royal","","","WR103","","","","","","282.0"
"303","Khiry Robinson","","","RB92","","","","","","284.0"
"304","D.J. Foster","","","RB93","","","","","","284.5"
"305","Roberto Aguayo","","","K16","","","","","","385.5"
"306","Josh Brown","","","K17","","","","","","385.5"
"307","Washington Commanders","DST","9","DST19","","","","","","385.0"
"308","Darrius Heyward-Bey","","","WR104","","","","","","288.0"
"309","James Jones","","","WR105","","","","","","288.0"
"310","Robbie Gould","","","K18","","","","","","390.5"
"311","Tre Mason","","","RB94","","","","","","291.0"
"312","Nick Novak","","","K19","","","","","","394.5"
"313","Matt Bryant","","","K20","","","","","","393.5"
"314","Mike Thomas","","","WR106","","","","","","296.0"
"315","Baltimore Ravens","DST","8","DST20","","","","","","389.5"
"316","Steve Johnson","","","WR107","","","","","","264.0"
"317","Dexter McCluster","","","RB95","","","","","","294.0"
"318","Austin Hooper","NE","9","TE40","","","","","","323.0"
"319","Trent Richardson","","","RB96","","","","","","273.0"
"320","Maxx Williams","","","TE41","","","","","","332.0"
"321","Stevan Ridley","","","RB97","","","","","","298.0"
"322","Knile Davis","","","RB98","","","","","","298.5"
"323","Nate Washington","","","WR108","","","","","","299.5"
"324","Andre Williams","","","RB99","","","","","","278.0"
"325","Miami Dolphins","DST","8","DST21","","","","","","396.0"
"326","Josh Lambo","","","K21","","","","","","401.0"
"327","Marquess Wilson","","","WR109","","","","","","281.0"
"328","Colin Kaepernick","","","QB37","","","","","","342.5"
"329","Dwayne Washington","DEN","11","RB100","","","","","","283.0"
"330","Connor Barth","","","K22","","","","","","406.5"
"331","Leonte Carroo","","","WR110","","","","","","304.5"
"332","Mike Nugent","","","K23","","","","","","403.0"
"333","Case Keenum","HOU","9","QB38","","","","","","285.0"
"334","Tampa Bay Buccaneers","DST","6","DST22","","","","","","402.0"
"335","Kyle Juszczyk","SF","8","RB101","","","","","","304.0"
"336","Mike Tolbert","","","RB102","","","","","","304.0"
"337","Indianapolis Colts","DST","10","DST23","","","","","","411.0"
"338","Detroit Lions","DST","10","DST24","","","","","","402.0"
"339","Dallas Cowboys","DST","7","DST25","","","","","","412.5"
"340","David Cobb","","","RB103","","","","","","289.0"
"341","Dontrelle Inman","","","WR111","","","","","","305.5"
"342","Chicago Bears","DST","9","DST26","","","","","","407.0"
"343","San Francisco 49ers","DST","8","DST27","","","","","","410.5"
"344","Brian Quick","","","WR112","","","","","","291.0"
"345","Tennessee Titans","DST","13","DST28","","","","","","415.5"
"346","Los Angeles Chargers","DST","","DST29","","","","","","416.5"
"347","Atlanta Falcons","DST","11","DST30","","","","","","293.0"
"348","Cleveland Browns","DST","13","DST31","","","","","","294.0"
"349","Kelvin Taylor","","","RB104","","","","","","294.0"
"350","New Orleans Saints","DST","5","DST32","","","","","","295.0"
"351","Roddy White","","","WR113","","","","","","316.0"
"352","Harry Douglas","","","WR114","","","","","","329.0"
"353","T.J. Jones","","","WR115","","","","","","297.0"
"354","Jason Myers","SEA","5","K24","","","","","","414.5"
"355","Dustin Hopkins","CLE","13","K25","","","","","","415.5"
"356","Cecil Shorts","","","WR116","","","","","","330.0"
"357","Denard Robinson","","","RB105","","","","","","300.0"
"358","Dwayne Harris","","","WR117","","","","","","320.5"
"359","Jonathan Grimes","","","RB106","","","","","","322.0"
"360","Andrew Hawkins","","","WR118","","","","","","307.0"
"361","Brent Celek","","","TE42","","","","","","364.0"
"362","Cordarrelle Patterson","PIT","8","RB107","","","","","","308.0"
"363","Mark Sanchez","","","QB39","","","","","","358.0"
"364","Phil Dawson","","","K26","","","","","","418.0"
"365","Damien Williams","","","RB108","","","","","","310.0"
"366","Josh McCown","","","QB40","","","","","","372.0"
"367","Joique Bell","","","RB109","","","","","","311.0"
"368","Marques Colston","","","WR119","","","","","","312.0"
"369","Jacquizz Rodgers","","","RB110","","","","","","313.0"
"370","Chris Boyd","","","WR120","","","","","","339.0"
"371","Rashad Greene","","","WR121","","","","","","329.5"
"372","Orleans Darkwa","","","RB111","","","","","","316.0"
"373","Josh Huff","","","WR122","","","","","","342.0"
"374","Jordan Todman","","","RB112","","","","","","317.0"
"375","Nick Folk","TEN","13","K27","","","","","","426.5"
"376","Ryan Succop","","","K28","","","","","","319.0"
"377","Greg Zuerlein","NYJ","11","K29","","","","","","424.0"
"378","Juwan Thompson","","","RB113","","","","","","321.0"
"379","Brian Hoyer","","","QB41","","","","","","367.5"
"380","Seyi Ajirotutu","","","WR123","","","","","","322.0"
"381","Mario Alford","","","WR124","","","","","","323.0"
"382","Mike Davis","","","RB114","","","","","","324.0"
"383","Miles Austin","","","WR125","","","","","","326.0"
"384","Adam Humphries","","","WR126","","","","","","327.0"
"385","Jason Avant","","","WR127","","","","","","328.0"
"386","Quincy Enunwa","","","WR128","","","","","","330.0"
"387","Matt Asiata","","","RB115","","","","","","331.0"
"388","Jeremy Kerley","","","WR129","","","","","","332.0"
"389","Ty Montgomery","II","","RB116","","","","","","333.0"
"390","Rex Burkhead","","","RB117","","","","","","334.0"
"391","Roy Helu","","","RB118","","","","","","335.0"
"392","Fozzy Whittaker","","","RB119","","","","","","336.0"
"393","Rashard Higgins","","","WR130","","","","","","338.0"
"394","Jalen Richard","","","RB120","","","","","","339.0"
"395","Albert Wilson","","","WR131","","","","","","340.0"
"396","Cody Latimer","","","WR132","","","","","","343.0"
"397","Marcel Reece","","","RB121","","","","","","346.0"
"398","Devin Smith","","","WR133","","","","","","347.0"
"399","Jarius Wright","","","WR134","","","","","","348.0"
"400","Corey Brown","","","WR135","","","","","","349.0"
"401","Jaron Brown","","","WR136","","","","","","350.0"
"402","Paul Richardson Jr.","","","WR137","","","","","","351.0"
"403","Tavarres King","","","WR138","","","","","","352.0"
"404","George Atkinson","III","","RB122","","","","","","353.0"
"405","Rod Streater","","","WR139","","","","","","354.0"
"406","Bishop Sankey","","","RB123","","","","","","355.0"
"407","Terrell Watson","","","RB124","","","","","","356.0"
"408","Fitzgerald Toussaint","","","RB125","","","","","","357.0"
"409","Brandon Bolden","","","RB126","","","","","","358.0"
"410","Shaun Hill","","","QB42","","","","","","360.0"
"411","Troymaine Pope","","","RB127","","","","","","363.0"
"412","Lorenzo Taliaferro","","","RB128","","","","","","364.0"
"413","Travaris Cadet","","","RB129","","","","","","366.0"
"414","Donald Brown","","","RB130","","","","","","367.0"
"415","Isaiah Pead","","","RB131","","","","","","369.0"
"416","Fred Jackson","","","RB132","","","","","","370.0"
"417","Dwayne Bowe","","","WR140","","","","","","372.0"
"418","Mike James","","","RB133","","","","","","373.0"
"419","Taiwan Jones","","","RB134","","","","","","374.0"
"420","Ryan Grant","","","WR141","","","","","","375.0"
"421","Adam Thielen","CAR","7","WR142","","","","","","377.0"
"422","Chris Polk","","","RB135","","","","","","378.0"
"423","Jamize Olawale","","","RB136","","","","","","379.0"
"424","Terron Ward","","","RB137","","","","","","380.0"
"425","Darius Jackson","","","RB138","","","","","","381.0"
"426","Chris Moore","ARI","9","WR143","","","","","","382.0"
"427","Stepfan Taylor","","","RB139","","","","","","383.0"
"428","Dan Herron","","","RB140","","","","","","384.0"
"429","Brice Butler","","","WR144","","","","","","385.0"
"430","Robbie Chosen","","","WR145","","","","","","386.0"
"431","Justin Hunter","","","WR146","","","","","","387.0"
"432","Marquise Goodwin","","","WR147","","","","","","390.0"
"433","Ricardo Louis","","","WR148","","","","","","392.0"
"434","John Crockett","","","RB141","","","","","","393.0"
"435","Jeff Heuerman","","","TE43","","","","","","394.0"
"436","Bennie Fowler","III","","WR149","","","","","","395.0"
"437","Roger Lewis","","","WR150","","","","","","397.0"
"438","Lance Kendricks","","","TE44","","","","","","398.0"
"439","Daniel Braverman","","","WR151","","","","","","399.0"
"440","Brian Hartline","","","WR152","","","","","","401.0"
"441","Josh Hill","","","TE45","","","","","","402.0"
"442","Geno Smith","SEA","5","QB43","","","","","","403.0"
"443","Bobby Rainey","","","RB142","","","","","","405.0"
"444","Vernon Davis","","","TE46","","","","","","406.0"
"445","Niles Paul","","","TE47","","","","","","409.0"
"446","Tyreek Hill","MIA","8","WR153","","","","","","410.0"
"447","Daryl Richardson","","","RB143","","","","","","411.0"
"448","Paul Turner","","","WR154","","","","","","412.0"
"449","Dennis Pitta","","","TE48","","","","","","413.0"
"450","Taylor Gabriel","","","WR155","","","","","","415.0"
"451","Patrick DiMarco","","","RB144","","","","","","416.0"
"452","Moritz Bohringer","","","WR156","","","","","","417.0"
"453","Garrett Celek","","","TE49","","","","","","418.0"
"454","Kenny Bell","","","WR157","","","","","","419.0"
"455","Jordan Norwood","","","WR158","","","","","","420.0"
"456","Nick Foles","","","QB44","","","","","","422.0"
"457","Kenneth Farrow","","","RB145","","","","","","423.0"
"458","Brandon Burks","","","RB146","","","","","","424.0"
"459","Jerricho Cotchery","","","WR159","","","","","","425.0"
"460","Andre Holmes","","","WR160","","","","","","426.0"
"461","Andre Roberts","","","WR161","","","","","","427.0"
"462","Dezmin Lewis","","","WR162","","","","","","428.0"
"463","Louis Murphy","","","WR163","","","","","","429.0"
"464","Charone Peake","","","WR164","","","","","","430.0"
"465","Leonard Hankerson","","","WR165","","","","","","431.0"
"466","Mychal Rivera","","","TE50","","","","","","432.0"
"467","Quan Bray","","","WR166","","","","","","433.0"
"468","Chase Daniel","","","QB45","","","","","","435.0"
"469","Corey Fuller","","","WR167","","","","","","436.0"
"470","Keshawn Martin","","","WR168","","","","","","437.0"
"471","Owen Daniels","","","TE51","","","","","","438.0"
"472","Jordan Payton","","","WR169","","","","","","439.0"
"473","Aaron Burbridge","","","WR170","","","","","","440.0"
"474","Demarcus Robinson","LAR","8","WR171","","","","","","441.0"
"475","Devin Hester","","","WR172","","","","","","442.0"
"476","Matt Cassel","","","QB46","","","","","","443.0"
"477","Greg Salas","","","WR173","","","","","","444.0"
"478","Chris Givens","","","WR174","","","","","","445.0"
"479","Brett Hundley","","","QB47","","","","","","446.0"
"480","Ryan Mallett","","","QB48","","","","","","447.0"
"481","E.J. Manuel","","","QB49","","","","","","448.0"
"482","Luke Willson","","","TE52","","","","","","449.0"
"483","Aaron Dobson","","","WR175","","","","","","450.0"
"484","Ryan Griffin","","","TE53","","","","","","451.0"
"485","Kenbrell Thompkins","","","WR176","","","","","","452.0"
"486","Darren Fells","","","TE54","","","","","","453.0"
"487","Devon Cajuste","","","WR177","","","","","","454.0"
"488","Landry Jones","","","QB50","","","","","","455.0"
"489","Chad Henne","","","QB51","","","","","","457.0"
"490","Cody Kessler","","","QB52","","","","","","458.0"
"491","Sean Mannion","","","QB53","","","","","","459.0"
"492","AJ McCarron","","","QB54","","","","","","460.0"
