"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Antonio Brown","","","WR1","","","","","","1.0"
"2","Julio Jones","","","WR2","","","","","","2.3"
"3","Odell Beckham Jr.","MIA","8","WR3","","","","","","2.8"
"4","Todd Gurley","II","","RB1","","","","","","4.8"
"5","DeAndre Hopkins","TEN","13","WR4","","","","","","5.8"
"6","A.J. Green","","","WR5","","","","","","6.0"
"7","David Johnson","","","RB2","","","","","","6.0"
"8","Ezekiel Elliott","DAL","7","RB3","","","","","","9.8"
"9","Allen Robinson II","NYG","8","WR6","","","","","","9.8"
"10","Adrian Peterson","","","RB4","","","","","","10.8"
"11","Rob Gronkowski","","","TE1","","","","","","11.5"
"12","Lamar Miller","","","RB5","","","","","","11.8"
"13","Le","","'Veon Bell","","","RB6","","","","","","12.5"
"14","Dez Bryant","","","WR7","","","","","","12.5"
"15","Keenan Allen","CHI","9","WR8","","","","","","15.0"
"16","Brandon Marshall","","","WR9","","","","","","15.8"
"17","Devonta Freeman","","","RB7","","","","","","17.5"
"18","Mike Evans","TB","6","WR10","","","","","","18.0"
"19","Jordy Nelson","","","WR11","","","","","","18.5"
"20","Alshon Jeffery","","","WR12","","","","","","20.3"
"21","Amari Cooper","CLE","13","WR13","","","","","","21.3"
"22","Jamaal Charles","","","RB8","","","","","","21.8"
"23","Brandin Cooks","DAL","7","WR14","","","","","","23.8"
"24","Mark Ingram","II","","RB9","","","","","","24.3"
"25","Eddie Lacy","","","RB10","","","","","","25.8"
"26","LeSean McCoy","","","RB11","","","","","","26.3"
"27","T.Y. Hilton","","","WR15","","","","","","28.0"
"28","Demaryius Thomas","","","WR16","","","","","","28.0"
"29","Sammy Watkins","","","WR17","","","","","","28.5"
"30","Doug Martin","","","RB12","","","","","","29.5"
"31","Jarvis Landry","","","WR18","","","","","","30.0"
"32","Jordan Reed","","","TE2","","","","","","33.5"
"33","Cam Newton","","","QB1","","","","","","34.3"
"34","C.J. Anderson","","","RB13","","","","","","35.3"
"35","Randall Cobb","","","WR19","","","","","","36.5"
"36","Julian Edelman","","","WR20","","","","","","39.8"
"37","Matt Forte","","","RB14","","","","","","40.5"
"38","Aaron Rodgers","NYJ","11","QB2","","","","","","40.5"
"39","Latavius Murray","","","RB15","","","","","","41.0"
"40","Jeremy Maclin","","","WR21","","","","","","41.3"
"41","Thomas Rawls","","","RB16","","","","","","42.5"
