"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","11","RB1","1","","","1.0"
"2","Saquon Barkley","PHI","9 ","RB2","2","","","2.0"
"3","Ezekiel Elliott","DAL","10","RB3","3","","","3.0"
"4","Dalvin Cook","","","RB4","7","","","5.3"
"5","Alvin Kamara","NO","6","RB5","4","","","5.3"
"6","Derrick Henry","BAL","7","RB6","5","","","5.7"
"7","Michael Thomas","","","WR1","6","","","6.0"
"8","Davante Adams","LV","6","WR2","9","","","9.3"
"9","Joe Mixon","HOU","8","RB7","11","","","9.7"
"10","Tyreek Hill","MIA","7","WR3","12","","","12.7"
"11","Nick Chubb","CLE","9","RB8","13","","","12.7"
"12","Clyde Edwards-Helaire","KC","10","RB9","8","","","13.3"
"13","Josh Jacobs","GB","5","RB10","18","","","14.3"
"14","Julio Jones","","","WR4","14","","","14.3"
"15","Kenyan Drake","","","RB11","17","","","15.7"
"16","DeAndre Hopkins","TEN","4","WR5","20","","","17.0"
"17","Patrick Mahomes II","KC","10","QB1","10","","","18.7"
"18","Travis Kelce","KC","10","TE1","19","","","18.7"
"19","Austin Ekeler","WAS","8","RB12","22","","","19.0"
"20","Aaron Jones","MIN","7","RB13","21","","","19.0"
"21","Miles Sanders","CAR","13","RB14","23","","","19.3"
"22","George Kittle","SF","11","TE2","16","","","20.0"
"23","Lamar Jackson","BAL","7","QB2","15","","","20.3"
"24","Chris Godwin","TB","13","WR6","24","","","21.0"
"25","Kenny Golladay","","","WR7","27","","","25.3"
"26","Mike Evans","TB","13","WR8","28","","","27.3"
"27","Chris Carson","","","RB15","31","","","30.0"
"28","Odell Beckham Jr.","MIA","7 O","WR9","30","","","30.0"
"29","Allen Robinson II","NYG","11","WR10","26","","","30.7"
"30","Todd Gurley","II","","RB16","32","","","31.0"
"31","Adam Thielen","CAR","13","WR11","29","","","32.0"
"32","James Conner","ARI","8","RB17","25","","","33.0"
"33","DJ Moore","CHI","11","WR12","37","","","34.0"
"34","Amari Cooper","CLE","9","WR13","38","","","34.3"
"35","JuJu Smith-Schuster","NE","5","WR14","34","","","34.3"
"36","Jonathan Taylor","IND","7","RB18","36","","","37.0"
"37","Melvin Gordon","III","","RB19","33","","","37.3"
"38","A.J. Brown","PHI","9","WR15","39","","","39.3"
"39","Mark Andrews","BAL","7","TE3","35","","","39.7"
"40","Cooper Kupp","LAR","9","WR16","44","","","40.0"
"41","Le","","'Veon Bell","","","RB20","45","","","41.7"
"42","David Johnson","","","RB21","52","","","42.0"
"43","Calvin Ridley","TEN","4","WR17","49","","","44.0"
"44","Zach Ertz","WAS","8","TE4","43","","","46.0"
"45","Mark Ingram","II","","RB22","40","","","46.0"
"46","Tyler Lockett","SEA","6","WR18","48","","","50.0"
"47","Courtland Sutton","DEN","5 ","WR19","55","","","50.7"
"48","Dak Prescott","DAL","10 ","QB3","42","","","50.7"
"49","Keenan Allen","CHI","11","WR20","57","","","50.7"
"50","Robert Woods","HOU","8","WR21","61","","","50.7"
"51","DK Metcalf","SEA","6","WR22","53","","","51.3"
"52","Raheem Mostert","MIA","7 ","RB23","47","","","51.7"
"53","Terry McLaurin","WAS","8","WR23","46","","","51.7"
"54","DJ Chark Jr.","LAC","6","WR24","54","","","51.7"
"55","Russell Wilson","PIT","4","QB4","41","","","55.7"
"56","Devin Singletary","NYG","11","RB24","63","","","57.0"
"57","Kyler Murray","ARI","8","QB5","50","","","58.3"
"58","T.Y. Hilton","","","WR25","64","","","58.7"
"59","Darren Waller","","","TE5","56","","","58.7"
"60","Cam Akers","","","RB25","60","","","59.7"
"61","Leonard Fournette","","","RB26","58","","","60.7"
"62","Deshaun Watson","CLE","9","QB6","51","","","60.7"
"63","DeVante Parker","","","WR26","67","","","61.3"
"64","Stefon Diggs","HOU","8","WR27","68","","","63.3"
"65","D'Andre Swift","CHI","11","RB27","66","","","65.0"
"66","Kareem Hunt","","","RB28","69","","","65.7"
"67","David Montgomery","DET","5","RB29","74","","","65.7"
"68","Hollywood Brown","KC","10","WR28","79","","","72.0"
"69","Michael Gallup","LV","6","WR29","76","","","73.7"
"70","A.J. Green","","","WR30","90","","","74.3"
"71","Matt Ryan","","","QB7","65","","","76.7"
"72","Tyler Boyd","TEN","4","WR31","85","","","77.0"
"73","Drew Brees","","","QB8","72","","","79.3"
"74","Evan Engram","JAC","8","TE6","84","","","79.3"
"75","Tyler Higbee","LAR","9","TE7","59","","","79.7"
"76","Ronald Jones","II","","RB30","82","","","80.0"
"77","Rob Gronkowski","","","TE8","77","","","80.0"
"78","Josh Allen","BUF","11","QB9","70","","","81.0"
"79","Hunter Henry","NE","5","TE9","73","","","81.0"
"80","Jarvis Landry","","","WR32","89","","","81.3"
"81","William Fuller V ","","","WR33","95","","","82.0"
"82","Julian Edelman","","","WR34","99","","","84.0"
"83","J.K. Dobbins","LAC","6","RB31","86","","","85.0"
"84","Jordan Howard","","","RB32","87","","","86.0"
"85","Deebo Samuel Sr.","SF","11","WR35","98","","","86.7"
"86","Aaron Rodgers","NYJ","10","QB10","96","","","90.0"
"87","Tom Brady","","","QB11","81","","","92.0"
"88","Phillip Lindsay","","","RB33","105","","","93.3"
"89","Brandin Cooks","DAL","10","WR36","118","","","93.7"
"90","Marvin Jones Jr.","","","WR37","106","","","93.7"
"91","James White","","","RB34","107","","","94.7"
"92","Jared Cook","","","TE10","71","","","95.0"
"93","Marlon Mack ","","","RB35","113","","","95.7"
"94","Matt Breida","","","RB36","100","","","95.7"
"95","Carson Wentz","KC","10","QB12","88","","","99.0"
"96","Sony Michel","","","RB37","111","","","100.3"
"97","San Francisco 49ers","DST","11","DST1","62","","","101.3"
"98","Kerryon Johnson","","","RB38","138","","","105.7"
"99","Diontae Johnson","CAR","13","WR38","108","","","106.0"
"100","Zack Moss","CIN","9 ","RB39","101","","","106.3"
"101","Hayden Hurst","LAC","6","TE11","104","","","106.7"
"102","CeeDee Lamb","DAL","10","WR39","112","","","107.3"
"103","Matthew Stafford","LAR","9","QB13","103","","","107.7"
"104","Tarik Cohen","NYJ","10 ","RB40","128","","","112.0"
"105","Pittsburgh Steelers","DST","4","DST2","80","","","113.0"
"106","Darius Slayton","NYG","11","WR40","133","","","114.0"
