"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"107","Emmanuel Sanders","","","WR41","136","","","114.0"
"108","Jamison Crowder","WAS","8","WR42","126","","","115.3"
"109","Latavius Murray","","","RB41","142","","","116.0"
"110","Baltimore Ravens","DST","7","DST3","75","","","116.3"
"111","Tevin Coleman","","","RB42","137","","","117.3"
"112","Austin Hooper","NE","5","TE12","121","","","117.7"
"113","Noah Fant","SEA","6","TE13","127","","","118.0"
"114","John Brown","","","WR43","123","","","118.3"
"115","Christian Kirk","JAC","8","WR44","164","","","119.7"
"116","Sterling Shepard","TB","13","WR45","135","","","119.7"
"117","Jerry Jeudy","CLE","9","WR46","134","","","121.0"
"118","Alexander Mattison","LV","6","RB43","139","","","122.0"
"119","Ben Roethlisberger","","","QB14","117","","","126.0"
"120","Antonio Gibson","NE","5","RB44","109","","","127.3"
"121","Buffalo Bills","DST","11","DST4","93","","","128.3"
"122","Henry Ruggs","III","","WR47","141","","","128.3"
"123","Justin Tucker","BAL","7","K1","78","","","130.0"
"124","Darrell Henderson Jr.","","","RB45","152","","","130.0"
"125","Harrison Butker","KC","10","K2","83","","","132.3"
"126","Daniel Jones","NYG","11","QB15","144","","","132.3"
"127","Chicago Bears","DST","11","DST5","97","","","134.0"
"128","Mecole Hardman Jr.","KC","10","WR48","157","","","134.3"
"129","Mike Gesicki","CIN","9","TE14","140","","","135.7"
"130","Joe Burrow","CIN","9 ","QB16","122","","","137.0"
"131","Justin Jefferson","MIN","7","WR49","166","","","138.0"
"132","Baker Mayfield","TB","13","QB17","148","","","140.3"
"133","Ke","","'Shawn Vaughn","","","RB46","125","","","111.5"
"134","Tony Pollard","TEN","4","RB47","167","","","142.0"
"135","New England Patriots","DST","5","DST6","119","","","143.7"
"136","Preston Williams","","","WR50","179","","","144.3"
"137","Jalen Reagor","NE","5","WR51","160","","","145.0"
"138","T.J. Hockenson","MIN","7","TE15","153","","","146.0"
"139","Jared Goff","DET","5","QB18","147","","","146.0"
"140","Cam Newton","","","QB19","114","","","174.7"
"141","DeSean Jackson","","","WR52","161","","","146.7"
"142","Wil Lutz","DEN","5","K3","94","","","147.0"
"143","Chase Edmonds","TB","13","RB48","172","","","147.0"
"144","Adrian Peterson","","","RB49","174","","","148.7"
"145","Sammy Watkins","","","WR53","159","","","150.0"
"146","Duke Johnson Jr.","","","RB50","184","","","150.3"
"147","Greg Zuerlein","NYJ","10","K4","102","","","151.0"
"148","Boston Scott","LAR","9","RB51","191","","","151.3"
"149","Minnesota Vikings","DST","7","DST7","120","","","151.7"
"150","Anthony Miller","","","WR54","","","","127.5"
"151","Mike Williams","NYJ","10","WR55","177","","","152.0"
"152","Damien Harris","","","RB52","162","","","171.0"
"153","AJ Dillon","GB","5","RB53","173","","","156.0"
"154","Golden Tate","","","WR56","","","","136.0"
"155","New Orleans Saints","DST","6","DST8","110","","","157.7"
"156","Ryan Tannehill","","","QB20","175","","","158.0"
"157","Ryquell Armstead ","","","RB54","158","","","161.0"
"158","Jonnu Smith","MIA","7","TE16","190","","","160.3"
"159","Jimmy Garoppolo","LAR","9 ","QB21","132","","","140.5"
"160","Kansas City Chiefs","DST","10","DST9","115","","","163.3"
"161","Drew Lock","NYG","11","QB22","154","","","163.7"
"162","Philip Rivers","","","QB23","156","","","164.3"
"163","Derrius Guice","","","RB55","91","","","243.5"
"164","Robbie Chosen","","","WR57","","","","148.5"
"165","Allen Lazard","NYJ","10","WR58","187","","","167.0"
"166","Gardner Minshew II","LV","6","QB24","155","","","167.0"
"167","Chris Thompson","","","RB56","170","","","183.3"
"168","Robbie Gould","","","K5","116","","","167.3"
"169","Nyheim Hines","CLE","9","RB57","","","","151.5"
"170","Justin Jackson","","","RB58","198","","","168.7"
"171","Blake Jarwin ","","","TE17","181","","","169.0"
"172","Darrel Williams","","","RB59","165","","","170.3"
"173","N'Keal Harry","MIN","7","WR59","","","","156.5"
"174","Larry Fitzgerald","","","WR60","150","","","172.3"
"175","Eric Ebron","","","TE18","169","","","158.5"
"176","Matt Prater","ARI","8","K6","124","","","180.7"
"177","Michael Pittman Jr.","IND","7","WR61","189","","","173.3"
"178","Parris Campbell","PHI","9 ","WR62","180","","","173.7"
"179","Kirk Cousins","ATL","10","QB25","176","","","161.0"
"180","Teddy Bridgewater","","","QB26","149","","","161.0"
"181","Alshon Jeffery","","","WR63","","","","123.0"
"182","Dallas Goedert","PHI","9","TE19","","","","127.0"
"183","Hunter Renfrow","","","WR64","163","","","164.5"
"184","Jimmy Graham","","","TE20","129","","","199.5"
"185","Derek Carr","NO","6","QB27","131","","","165.5"
"186","Kyle Rudolph","","","TE21","130","","","169.0"
"187","Greg Olsen","","","TE22","143","","","167.5"
"188","LeSean McCoy","","","RB60","151","","","168.5"
"189","Breshad Perriman","","","WR65","200","","","170.5"
"190","Chris Herndon","IV","","TE23","","","","171.0"
"191","Curtis Samuel","BUF","11","WR66","194","","","172.0"
"192","Jack Doyle","","","TE24","","","","144.0"
"193","Carlos Hyde","","","RB61","183","","","206.7"
"194","Tua Tagovailoa","MIA","7","QB28","145","","","225.5"
"195",".J. Howard","O","","TE25","146","","","178.5"
"196","Jerick McKinnon","","","RB62","186","","","218.3"
"197","Bryce Love","","","RB63","","","","231.5"
"198","Brandon Aiyuk","SF","11","WR67","197","","","183.0"
"199","Joshua Kelley","","","RB64","","","","195.0"
"200","Ian Thomas","CAR","13","TE26","","","","161.0"
"201","Bryan Edwards","","","WR68","199","","","187.7"
"202","Zane Gonzalez","","","K7","178","","","197.0"
"203","Benny Snell Jr.","","","RB65","","","","212.5"
"204","Tyler Eifert","","","TE27","168","","","214.0"
"205","Sam Darnold","MIN","7","QB29","","","","170.0"
"206","Jamaal Williams","NO","6","RB66","","","","171.0"
"207","James Robinson","NO","6","RB67","171","","","262.5"
"208","Dede Westbrook ","","","WR69","","","","172.0"
"209","Denzel Mims","JAC","8","WR70","","","","175.0"
"210","Irv Smith Jr.","KC","10","TE28","182","","","188.0"
"211","Los Angeles Chargers","DST","6","DST10","","","","194.0"
"212","Rashaad Penny","CAR","13","RB68","","","","176.0"
"213","Antonio Brown","","","WR71","","","","178.0"
"214","Laviska Shenault Jr.","SEA","6","WR72","","","","202.5"
"215","John Ross","PHI","9","WR73","","","","180.0"
"216","Chase Claypool","BUF","11","WR74","","","","214.5"
"217","Los Angeles Rams","DST","9","DST11","","","","191.0"
"218","Tampa Bay Buccaneers","DST","13","DST12","","","","229.5"
"219","Younghoe Koo","ATL","10","K8","","","","233.5"
"220","Matt Gay","IND","7","K9","195","","","195.7"
"221","Corey Davis","","","WR75","","","","185.0"
"222","Green Bay Packers","DST","5","DST13","185","","","220.5"
"223","Lamar Miller","","","RB69","","","","187.0"
"224","Indianapolis Colts","DST","7","DST14","","","","229.5"
"225","Tee Higgins","CIN","9","WR76","","","","188.0"
"226","Devonta Freeman","","","RB70","188","","","205.5"
"227","Dallas Cowboys","DST","10","DST15","","","","226.5"
"228","Ka'imi Fairbairn","HOU","8","K10","","","","217.5"
"229","Denver Broncos","DST","5","DST16","","","","205.5"
"230","Michael Badgley","DET","5","K11","192","","","218.5"
"231","Mason Crosby","","","K12","193","","","222.0"
"232","James Washington","","","WR77","","","","195.0"
"233","Philadelphia Eagles","DST","9","DST17","","","","213.0"
"234","Washington Commanders","DST","8","DST18","196","","","200.0"
"235","Jake Elliott","PHI","9","K13","","","","221.0"
"236","Cincinnati Bengals","DST","9","DST19","","","","197.0"
"237","Dan Bailey","","","K14","","","","234.0"
"238","Kenny Stills","","","WR78","","","","205.0"
"239","Josh Gordon","","","WR79","","","","207.0"
"240","Justice Hill","BAL","7","RB71","","","","209.0"
"241","Darrynton Evans","BUF","11","RB72","","","","210.0"
"242","Atlanta Falcons","DST","10","DST20","","","","212.0"
"243","Randall Cobb","","","WR80","","","","214.0"
"244","Devin Duvernay","JAC","8","WR81","","","","215.0"
"245","Malcolm Brown","","","RB73","","","","216.0"
"246","Lynn Bowden Jr.","","","WR82","","","","217.0"
"247","Willie Snead","IV","","WR83","","","","218.0"
"248","Cole Beasley","","","WR84","","","","220.0"
"249","Anthony McFarland Jr.","","","RB74","","","","221.0"
"250","Detroit Lions","DST","5","DST21","","","","222.0"
"251","Brian Hill","","","RB75","","","","226.0"
"252","Jalen Hurts","PHI","9","QB30","","","","228.0"
"253","Giovani Bernard","","","RB76","","","","229.0"
"254","Dawson Knox","BUF","11","TE29","","","","230.0"
"255","Ryan Fitzpatrick","","","QB31","","","","233.0"
"256","Royce Freeman","DAL","10","RB77","","","","234.0"
"257","Mohamed Sanu Sr.","","","WR85","","","","235.0"
"258","New York Jets","DST","10","DST22","","","","236.0"
"259","Devin Asiasi","","","TE30","","","","237.0"
"260","C.J. Uzomah","PHI","9 ","TE31","","","","238.0"
"261","Tennessee Titans","DST","4","DST23","","","","239.0"
"262","Jason Sanders","MIA","7","K15","","","","240.0"
"263","Seattle Seahawks","DST","6","DST24","","","","241.0"
"264","Tyrod Taylor","NYJ","10","QB32","","","","242.0"
"265","Austin Seibert","NYJ","10","K16","","","","243.0"
"266","Frank Gore","","","RB78","","","","247.0"
"267","Jace Sternberger","","","TE32","","","","252.0"
"268","Andy Isabella","BUF","11","WR86","","","","253.0"
"269","Eno Benjamin","","","RB79","","","","254.0"
"270","Jalen Richard","","","RB80","","","","255.0"
"271","David Njoku","CLE","9","TE33","","","","258.0"
"272","Sam Sloman","","","K17","","","","259.0"
"273","Kendrick Bourne","NE","5","WR87","","","","261.0"
"274","Josh Reynolds","DEN","5","WR88","","","","262.0"
"275","Gus Edwards","LAC","6","RB81","","","","263.0"
"276","Brandon McManus","","","K18","","","","265.0"
"277","Will Dissly","LAC","6","TE34","","","","266.0"
"278","Jaylen Samuels","","","RB82","","","","267.0"
"279","Randy Bullock","","","K19","","","","268.0"
"280","Dion Lewis","","","RB83","","","","269.0"
"281","Cleveland Browns","DST","9","DST25","","","","273.0"
"282","Dustin Hopkins","CLE","9","K20","","","","275.0"
"283","Danny Amendola","","","WR89","","","","276.0"
"284","Tre'Quan Smith","DET","5","WR90","","","","277.0"
"285","La'Mical Perine","PIT","4","RB84","","","","279.0"
"286","Eddy Pineiro","CAR","13","K21","","","","280.0"
"287","Ito Smith","","","RB85","","","","281.0"
"288","Dwayne Haskins","","","QB33","","","","282.0"
"289","Joey Slye","NE","5","K22","","","","283.0"
"290","Gerald Everett","CHI","11","TE35","","","","285.0"
"291","Daniel Carlson","LV","6","K23","","","","287.0"
"292","Cole Kmet","CHI","11","TE36","","","","288.0"
"293","Chris Conley","SF","11","WR91","","","","289.0"
"294","KJ Hamler","BUF","11","WR92","","","","290.0"
"295","Jason Myers","SEA","6","K24","","","","291.0"
"296","Sam Ficken","","","K25","","","","292.0"
"297","Chris Boswell","PIT","4","K26","","","","293.0"
"298","Vance McDonald","","","TE37","","","","295.0"
"299","Rex Burkhead ","","","RB86","","","","296.0"
"300","Jarrett Stidham","DEN","5","QB34","","","","297.0"
"301","Miles Boykin","NYG","11","WR93","","","","298.0"
"302","Stephen Hauschka","","","K27","","","","299.0"
"303","Justin Herbert","LAC","6","QB35","","","","300.0"
"304","Darwin Thompson","","","RB87","","","","301.0"
"305","Auden Tate ","","","WR94","","","","302.0"
"306","Zach Pascal","ARI","8","WR95","","","","303.0"
"307","Peyton Barber","","","RB88","","","","304.0"
"308","Houston Texans","DST","8","DST26","","","","305.0"
"309","Stephen Gostkowski","","","K28","","","","307.0"
"310","Steven Sims Jr.","HOU","8","WR96","","","","309.0"
"311","Nelson Agholor","BAL","7","WR97","","","","310.0"
"312","Nick Foles","","","QB36","","","","311.0"
"313","Josh Lambo ","","","K29","","","","312.0"
"314","Phillip Dorsett II","DEN","5","WR98","","","","315.0"
"315","Logan Thomas","SF","11","TE38","","","","316.0"
"316","Adam Humphries","","","WR99","","","","318.0"
"317","Marquez Valdes-Scantling","BUF","11","WR100","","","","319.0"
"318","Cameron Brate","","","TE39","","","","320.0"
"319","Russell Gage","","","WR101","","","","321.0"
"320","Jacob Hollister","","","TE40","","","","322.0"
"321","Mitchell Trubisky","BUF","11","QB37","","","","323.0"
"322","Patrick Laird","","","RB89","","","","324.0"
"323","Demarcus Robinson","LAR","9","WR102","","","","325.0"
"324","Darren Fells","","","TE41","","","","326.0"
"325","Jacksonville Jaguars","DST","8","DST27","","","","327.0"
"326","J.J. Arcega-Whiteside","","","WR103","","","","328.0"
"327","Dare Ogunbowale","HOU","8","RB90","","","","329.0"
"328","Mike Boone","CAR","13","RB91","","","","330.0"
"329","Van Jefferson","PIT","4","WR104","","","","331.0"
"330","Marcus Mariota","WAS","8","QB38","","","","332.0"
"331","Tajae Sharpe","","","WR105","","","","333.0"
"332","Aldrick Rosas","","","K30","","","","334.0"
"333","Mason Rudolph","TEN","4","QB39","","","","335.0"
"334","Antonio Gandy-Golden","","","WR106","","","","336.0"
"335","David Moore","CAR","13","WR107","","","","337.0"
"336","Trey Burton","","","TE42","","","","338.0"
"337","Jakobi Meyers","LV","6","WR108","","","","339.0"
"338","Miami Dolphins","DST","7","DST28","","","","340.0"
"339","Kaden Smith","","","TE43","","","","341.0"
"340","Kyle Juszczyk","SF","11","RB92","","","","342.0"
"341","Greg Ward","","","WR109","","","","343.0"
"342","Devine Ozigbo","","","RB93","","","","344.0"
"343","Jameis Winston","CLE","9","QB40","","","","345.0"
"344","Dan Arnold","","","TE44","","","","346.0"
"345","Elliott","Fry","","K31","","","","347.0"
"346","Arizona Cardinals","DST","8","DST29","","","","348.0"
"347","Jordan Reed","","","TE45","","","","349.0"
"348","J.D. McKissic","","","RB94","","","","350.0"
"349","Scotty Miller","PIT","4","WR110","","","","351.0"
"350","Adam Trautman","DEN","5","TE46","","","","352.0"
"351","Drew Sample","CIN","9","TE47","","","","353.0"
"352","Tyler Bass","BUF","11","K32","","","","355.0"
"353","Lirim Hajrullahu","","","K33","","","","356.0"
"354","Cordarrelle Patterson","PIT","4","RB95","","","","357.0"
"355","Bisi Johnson","","","WR111","","","","358.0"
"356","T.J. Yeldon","","","RB96","","","","359.0"
"357","Ryan Succop","","","K34","","","","360.0"
"358","Bo Scarbrough ","","","RB97","","","","361.0"
"359","Wayne Gallman Jr.","","","RB98","","","","362.0"
"360","Trent Taylor","SF","11","WR112","","","","363.0"
"361","Josiah Deguara","JAC","8","TE48","","","","364.0"
"362","Carolina Panthers","DST","13","DST30","","","","365.0"
"363","Jordan Love","GB","5","QB41","","","","366.0"
"364","Jason Witten","","","TE49","","","","367.0"
"365","Dante Pettis","CHI","11","WR113","","","","368.0"
"366","Kyle Allen","PIT","4 ","QB42","","","","369.0"
"367","Damiere Byrd","WAS","8","WR114","","","","370.0"
"368","Graham Gano","NYG","11","K35","","","","371.0"
"369","Kalen Ballage","","","RB99","","","","372.0"
"370","Ted Ginn Jr.","","","WR115","","","","373.0"
"371","Rodrigo Blankenship","","","K36","","","","374.0"
"372","Mike Davis","","","RB100","","","","375.0"
"373","New York Giants","DST","11","DST31","","","","376.0"
"374","Ty Montgomery","II","","RB101","","","","377.0"
"375","Quintez Cephus","","","WR116","","","","378.0"
"376","DeeJay Dallas","ARI","8","RB102","","","","379.0"
"377","Rashard Higgins","","","WR117","","","","380.0"
"378","Hakeem Butler","","","WR118","","","","381.0"
"379","Taysom Hill","NO","6","TE50","","","","382.0"
"380","Equanimeous St. Brown","NO","6","WR119","","","","383.0"
"381","Justin Watson","KC","10","WR120","","","","384.0"
"382","Corey Clement","","","RB103","","","","385.0"
"383","Gabe Davis","JAC","8","WR121","","","","387.0"
"384","Deonte Harty","BAL","7","WR122","","","","388.0"
"385","Demetrius Harris","","","TE51","","","","389.0"
"386","Albert kwuegbunam Jr.","PHI","9 O","TE52","","","","390.0"
"387","J.J. Taylor","HOU","8","RB104","","","","391.0"
"388","Mo Alie-Cox","IND","7","TE53","","","","392.0"
"389","Tim Tebow","","","TE54","","","","393.0"
"390","Brett Maher","","","K37","","","","394.0"
"391","John Hightower","","","WR123","","","","395.0"
""
""
