"Rank","Player","Team","Bye","POS","AVG"
"122","J.D. McKissic","WAS","14","RB46","116.8"
"123","Jarvis Landry","CLE","10","WR49","118.2"
"124","Trey Lance","SF","9","QB14","118.2"
"125","Irv Smith Jr.","MIN","6","TE13","120.3"
"126","Nyheim Hines","IND","14","RB47","120.6"
"127","Giovani Bernard","TB","11","RB48","120.9"
"128","Rhamondre Stevenson","NE","14","RB49","121.3"
"129","Washington Defense","WAS","14","DEF4","123.1"
"130","Henry Ruggs III","LV","10","WR50","123.9"
"131","Justin Fields","CHI","7","QB15","125.6"
"132","Marvin Jones","JAX","12","WR51","126"
"133","Chuba Hubbard","CAR","11","RB50","127.6"
"134","James White","NE","14","RB51","128.8"
"135","Will Fuller","MIA","6","WR52","129.2"
"136","Baltimore Defense","BAL","14","DEF5","129.7"
"137","Matt Ryan","ATL","12","QB16","129.8"
"138","Latavius Murray","BAL","14","RB52","130.6"
"139","Jonnu Smith","NE","14","TE14","130.7"
"140","Elijah Moore","NYJ","12","WR53","132.6"
"141","Russell Gage","ATL","12","WR54","133.8"
"142","Baker Mayfield","CLE","10","QB17","134.3"
"143","Justin Tucker","BAL","14","PK1","135.4"
"144","Michael Gallup","DAL","7","WR55","135.4"
"145","Jameis Winston","NO","12","QB18","137.3"
"146","Indianapolis Defense","IND","14","DEF6","137.5"
"147","Rashaad Penny","SEA","10","RB53","137.9"
"148","San Francisco Defense","SF","9","DEF7","137.9"
"149","Harrison Butker","KC","6","PK2","138.7"
"150","Tevin Coleman","NYJ","12","RB54","139"
"151","Younghoe Koo","ATL","12","PK3","139.6"
"152","Curtis Samuel","WAS","14","WR56","140.2"
"153","Greg Zuerlein","DAL","7","PK4","140.6"
"154","Marquise Brown","BAL","14","WR57","140.9"
"155","Rob Gronkowski","TB","11","TE15","142.8"
"156","Ben Roethlisberger","PIT","9","QB19","143.2"
"157","Jason Sanders","MIA","6","PK5","143.9"
"158","Gabriel Davis","BUF","12","WR58","144.3"
"159","Trevor Lawrence","JAX","12","QB20","144.7"
"160","Damien Williams","CHI","7","RB55","146"
"161","Rondale Moore","ARI","11","WR59","146.4"
"162","Ryan Succop","TB","11","PK6","146.5"
"163","Bryan Edwards","LV","10","WR60","148.2"
"164","Rodrigo Blankenship","IND","14","PK7","148.5"
"165","New England Defense","NE","14","DEF8","148.8"
"166","Terrace Marshall Jr.","CAR","11","WR61","149"
"167","Zach Wilson","NYJ","12","QB21","149.1"
"168","Hunter Henry","NE","14","TE16","149.7"
"169","Cleveland Defense","CLE","10","DEF9","150"
"170","Tyler Bass","BUF","12","PK8","150.2"
"171","Darrel Williams","KC","6","RB56","150.3"
"172","Evan Engram","NYG","11","TE17","150.9"
"173","Cole Beasley","BUF","12","WR62","150.9"
"174","Adam Trautman","NO","12","TE18","151.9"
"175","Mark Ingram","NO","12","RB57","154.2"
"176","Justin Jackson","LAC","5","RB58","154.6"
"177","Kenneth Gainwell","PHI","5","RB59","154.8"
"178","Matt Prater","ARI","11","PK9","154.9"
"179","Jared Cook","LAC","5","TE19","155"
"180","Buffalo Defense","BUF","12","DEF10","155.3"
"181","Devontae Booker","NYG","11","RB60","155.5"
"182","A.J. Green","ARI","11","WR63","156.6"
"183","Gerald Everett","SEA","10","TE20","156.6"
