"Rank","Player","Team","Bye","POS","AVG"
"121","Romeo Doubs","GB","10","WR53","121.3"
"122","Jakobi Meyers","LV","10","WR54","121.3"
"123","Kirk Cousins","ATL","12","QB18","122.7"
"124","Ezekiel Elliott","DAL","7","RB40","125.0"
"125","Dalton Schultz","HOU","14","TE13","125.0"
"126","Gus Edwards","LAC","5","RB41","126.0"
"127","T.J. Hockenson","MIN","6","TE14","126.7"
"128","Zach Charbonnet","SEA","10","RB42","128.7"
"129","Pat Freiermuth","PIT","9","TE15","129.7"
"130","Mike Williams","NYJ","12","WR55","130.0"
"131","Joshua Palmer","LAC","5","WR56","130.3"
"132","Matthew Stafford","LAR","6","QB19","131.3"
"133","Jerry Jeudy","CLE","10","WR57","133.0"
"134","Rashid Shaheed","NO","12","WR58","133.3"
"135","Kendre Miller","NO","12","RB43","134.7"
"136","Brandin Cooks","DAL","7","WR59","135.0"
"137","Cole Kmet","CHI","7","TE16","135.0"
"138","Aaron Rodgers","NYJ","12","QB20","139.7"
"139","Deshaun Watson","CLE","10","QB21","140.0"
"140","Josh Downs","IND","14","WR60","140.3"
"141","Ty Chandler","MIN","6","RB44","140.7"
"142","Gabe Davis","JAC","12","WR61","140.7"
"143","Baker Mayfield","TB","11","QB22","141.7"
"144","Jahan Dotson","WAS","14","WR62","142.0"
"145","MarShawn Lloyd","GB","10","RB45","145.0"
"146","Antonio Gibson","NE","14","RB46","147.3"
"147","Rico Dowdle","DAL","7","RB47","147.7"
"148","Jaylen Wright","MIA","6","RB48","148.7"
"149","Dontayvion Wicks","GB","10","WR63","149.7"
"150","Luke Musgrave","GB","10","TE17","150.0"
"151","Taysom Hill","NO","12","TE18","151.3"
"152","Kimani Vidal","LAC","5","RB49","152.0"
"153","Chuba Hubbard","CAR","11","RB50","153.3"
"154","Quentin Johnston","LAC","5","WR64","154.7"
"155","Adonai Mitchell","IND","14","WR65","155.0"
"156","Adam Thielen","CAR","11","WR66","155.3"
"157","Geno Smith","SEA","10","QB23","156.3"
"158","Michael Wilson","ARI","11","WR67","156.7"
"159","Will Levis","TEN","5","QB24","157.7"
"160","Darnell Mooney","ATL","12","WR68","160.0"
"161","Tyler Allgeier","ATL","12","RB51","160.3"
"162","Ray Davis","BUF","12","RB52","161.0"
"163","Jaleel McLaughlin","DEN","14","RB53","161.0"
"164","J.K. Dobbins","LAC","5","RB54","161.3"
"165","Xavier Legette","CAR","11","WR69","161.3"
"166","Hunter Henry","NE","14","TE19","161.7"
"167","Derek Carr","NO","12","QB25","167.7"
"168","Tyler Conklin","NYJ","12","TE20","171.7"
"169","Cade Otton","TB","11","TE21","173.3"
"170","Ricky Pearsall","SF","9","WR70","173.7"
"171","Ja'Lynn Polk","NE","14","WR71","174.0"
"172","Roschon Johnson","CHI","7","RB55","174.3"
"173","Bucky Irving","TB","11","RB56","174.3"
"174","Marvin Mims Jr.","DEN","14","WR72","176.0"
"175","Wan'Dale Robinson","NYG","11","WR73","177.0"
"176","Bryce Young","CAR","11","QB26","178.0"
"177","Khalil Herbert","CHI","7","RB57","179.3"
"178","Chigoziem Okonkwo","TEN","5","TE22","179.7"
"179","Troy Franklin","DEN","14","WR74","181.0"
"180","Daniel Jones","NYG","11","QB27","183.0"
"181","Tyrone Tracy Jr.","NYG","11","RB58","184.0"
"182","DeMario Douglas","NE","14","WR75","185.0"
"183","Braelon Allen","NYJ","12","RB59","185.3"
"184","Jermaine Burton","CIN","12","WR76","186.3"
"185","Isaiah Likely","BAL","14","TE23","186.3"
"186","Roman Wilson","PIT","9","WR77","186.7"
"187","Jonnu Smith","MIA","6","TE24","187.7"
"188","J.J. McCarthy","MIN","6","QB28","190.0"
"189","Russell Wilson","PIT","9","QB29","190.3"
"190","Rashod Bateman","BAL","14","WR78","191.0"
"191","Justin Fields","PIT","9","QB30","191.0"
"192","Elijah Mitchell","SF","9","RB60","192.0"
"193","Bo Nix","DEN","14","QB31","197.0"
"194","Juwan Johnson","NO","12","TE25","197.3"
"195","Drake Maye","NE","14","QB32","198.0"
"196","Dameon Pierce","HOU","14","RB61","200.3"
"197","Noah Fant","SEA","10","TE26","202.3"
"198","D'Onta Foreman","CLE","10","RB62","202.7"
"199","Ben Sinnott","WAS","14","TE27","202.7"
"200","Audric Estime","DEN","14","RB63","203.3"
"201","Demarcus Robinson","LAR","6","WR79","204.3"
"202","Malachi Corley","NYJ","12","WR80","208.3"
"203","Clyde Edwards-Helaire","KC","6","RB64","210.0"
"204","Luke McCaffrey","WAS","14","WR81","215.3"
"205","Keaton Mitchell","BAL","14","RB65","217.0"
"206","Alexander Mattison","LV","10","RB66","217.3"
"207","Tank Bigsby","JAC","12","RB67","217.3"
"208","Gardner Minshew II","LV","10","QB33","218.0"
"209","Mike Gesicki","CIN","12","TE28","218.7"
"210","Tyler Boyd","TEN","5","WR82","221.7"
"211","Zay Jones","ARI","11","WR83","224.0"
"212","Darius Slayton","NYG","11","WR84","224.0"
"213","Aidan O'Connell","LV","10","QB34","224.3"
"214","Ja'Tavion Sanders","CAR","11","TE29","226.7"
"215","Jalin Hyatt","NYG","11","WR85","226.7"
"216","Michael Mayer","LV","10","TE30","227.7"
"217","Jelani Woods","IND","14","TE31","228.7"
"218","Elijah Moore","CLE","10","WR86","230.3"
"219","Sam Darnold","MIN","6","QB35","231.7"
"220","Greg Dulcich","DEN","14","TE32","232.0"
"221","A.T. Perry","NO","12","WR87","233.3"
"222","Will Shipley","PHI","5","RB68","233.3"
"223","Jalen Tolbert","DAL","7","WR88","234.3"
"224","Javon Baker","NE","14","WR89","234.3"
"225","Kendrick Bourne","NE","14","WR90","234.3"
"226","DJ Chark Jr.","LAC","5","WR91","235.3"
"227","Isaac Guerendo","SF","9","RB69","235.3"
"228","Darren Waller","","","TE33","217.0"
"229","Samaje Perine","DEN","14","RB70","254.7"
"230","Baltimore Ravens","DST","14","DST1","166.0"
"231","Devontez Walker","BAL","14","WR92","221.0"
"232","AJ Dillon","GB","10","RB71","239.7"
"233","Justice Hill","BAL","14","RB72","241.0"
"234","Dallas Cowboys","DST","7","DST2","175.0"
"235","Odell Beckham Jr.","MIA","6","WR93","241.0"
"236","Dylan Laube","LV","10","RB73","242.7"
"237","Kenneth Gainwell","PHI","5","RB74","241.3"
