"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Saquon Barkley","PHI","10","RB1","1","","","1.0"
"2","Alvin Kamara","NO","9","RB2","2","","","2.3"
"3","Christian McCaffrey","SF","4","RB3","3","","","2.7"
"4","Ezekiel Elliott","DAL","8","RB4","4","","","4.0"
"5","David Johnson","","","RB5","6","","","6.0"
"6","DeAndre Hopkins","TEN","11","WR1","5","","","7.0"
"7","Davante Adams","LV","","WR2","8","","","7.0"
"8","James Conner","ARI","12","RB6","9","","","8.0"
"9","Le","","'Veon Bell","","","RB7","10","","","8.7"
"10","Nick Chubb","CLE","7","RB8","7","","","10.0"
"11","Michael Thomas","","","WR3","12","","","11.3"
"12","Julio Jones","","","WR4","11","","","11.3"
"13","Odell Beckham Jr.","MIA","5","WR5","13","","","13.7"
"14","Todd Gurley","II","","RB9","19","","","15.3"
"15","Dalvin Cook","","","RB10","15","","","16.0"
"16","JuJu Smith-Schuster","NE","10","WR6","17","","","16.0"
"17","Travis Kelce","KC","12","TE1","14","","","16.3"
"18","Joe Mixon","HOU","10","RB11","18","","","17.0"
"19","Tyreek Hill","MIA","5","WR7","20","","","18.0"
"20","Patrick Mahomes II","KC","12","QB1","16","","","18.3"
"21","Mike Evans","TB","7 ","WR8","22","","","22.0"
"22","Antonio Brown","","","WR9","23","","","22.3"
"23","Keenan Allen","CHI","6","WR10","25","","","24.7"
"24","Adam Thielen","CAR","7","WR11","28","","","25.7"
"25","George Kittle","SF","4","TE2","21","","","26.0"
"26","Leonard Fournette","","","RB12","32","","","26.3"
"27","Damien Williams","","","RB13","24","","","27.3"
"28","Aaron Jones","MIN","12","RB14","27","","","28.0"
"29","Kerryon Johnson","","","RB15","29","","","28.7"
"30","Zach Ertz","WAS","10","TE3","26","","","30.0"
"31","Devonta Freeman","","","RB16","31","","","31.0"
"32","Amari Cooper","CLE","7","WR12","30","","","32.3"
"33","Stefon Diggs","HOU","10","WR13","33","","","33.7"
"34","Derrick Henry","BAL","8","RB17","34","","","37.3"
"35","Josh Jacobs","GB","11","RB18","45","","","38.0"
"36","Marlon Mack","","","RB19","35","","","38.0"
"37","Chris Carson ","","","RB20","51","","","38.3"
"38","Brandin Cooks","DAL","8","WR14","40","","","39.0"
"39","Robert Woods","HOU","10","WR15","37","","","39.3"
"40","T.Y. Hilton","","","WR16","36","","","40.3"
"41","David Montgomery","DET","5","RB21","46","","","41.0"
"42","Julian Edelman","","","WR17","43","","","41.3"
"43","Deshaun Watson","CLE","7","QB2","38","","","43.0"
"44","Mark Ingram","II","","RB22","44","","","43.3"
"45","Chris Godwin","TB","7","WR18","41","","","43.7"
"46","Kenny Golladay","","","WR19","49","","","46.7"
"47","Melvin Gordon","III","","RB23","39","","","49.3"
"48","Tyler Lockett","SEA","11","WR20","53","","","49.3"
"49","Sony Michel","","","RB24","48","","","49.7"
"50","Aaron Rodgers","NYJ","4","QB3","42","","","50.7"
"51","Cooper Kupp","LAR","9","WR21","62","","","52.0"
"52","Phillip Lindsay","","","RB25","55","","","53.7"
"53","Tyler Boyd","TEN","11","WR22","59","","","54.7"
"54","O.J. Howard","","","TE4","50","","","55.3"
"55","Mike Williams","NYJ","4","WR23","58","","","58.3"
"56","Calvin Ridley","TEN","11 ","WR24","65","","","58.7"
"57","Evan Engram","JAC","10 ","TE5","54","","","58.7"
"58","Baker Mayfield","TB","7","QB4","47","","","59.7"
"59","A.J. Green ","","","WR25","78","","","62.3"
"60","Hunter Henry","NE","10","TE6","56","","","62.3"
"61","Tevin Coleman","","","RB26","72","","","64.3"
"62","Jarvis Landry","","","WR26","67","","","65.0"
"63","Josh Gordon","","","WR27","77","","","65.7"
"64","DJ Moore","CHI","6","WR28","74","","","65.7"
"65","James White","","","RB27","79","","","66.7"
"66","Alshon Jeffery ","","","WR29","69","","","67.7"
"67","Allen Robinson II","NYG","11","WR30","60","","","68.7"
"68","Miles Sanders","CAR","7","RB28","85","","","70.3"
"69","Matt Ryan","","","QB5","57","","","71.3"
"70","Duke Johnson Jr.","","","RB29","75","","","71.7"
"71","Jared Cook","","","TE7","63","","","71.7"
"72","Austin Ekeler","WAS","10","RB30","104","","","72.3"
"73","Tarik Cohen","NYJ","4","RB31","82","","","73.3"
"74","Carson Wentz","KC","12","QB6","68","","","75.3"
"75","Robbie Chosen","","","WR31","81","","","75.7"
"76","Drew Brees","","","QB7","66","","","80.0"
"77","Kenyan Drake","","","RB32","83","","","80.3"
"78","Chicago Bears","DST","6","DST1","61","","","80.7"
"79","Dede Westbrook","","","WR32","97","","","81.0"
"80","Russell Wilson","PIT","7","QB8","64","","","82.0"
"81","William Fuller","V","","WR33","90","","","82.3"
"82","Latavius Murray","","","RB33","102","","","84.7"
"83","Vance McDonald","","","TE8","80","","","84.7"
"84","Christian Kirk","JAC","10","WR34","95","","","86.7"
"85","Jared Goff","DET","5","QB9","93","","","87.3"
"86","Derrius Guice ","","","RB34","103","","","88.0"
"87","Cam Newton ","","","QB10","71","","","90.0"
"88","Sammy Watkins","","","WR35","99","","","90.7"
"89","Curtis Samuel","BUF","6","WR36","100","","","92.7"
"90","David Njoku","CLE","7","TE9","84","","","93.0"
"91","Jordan Howard","","","RB35","101","","","94.3"
"92","Los Angeles Rams","DST","9","DST2","70","","","95.0"
"93","Corey Davis","","","WR37","98","","","95.0"
"94","Eric Ebron ","","","TE10","91","","","98.3"
"95","Sterling Shepard","TB","7","WR38","109","","","98.3"
"96","Marvin Jones Jr. ","","","WR39","121","","","100.7"
"97","Kyler Murray","ARI","12","QB11","88","","","101.7"
"98","Matt Breida","","","RB36","119","","","103.7"
"99","Royce Freeman","DAL","8","RB37","111","","","103.7"
"100","Larry Fitzgerald","","","WR40","113","","","104.3"
"101","Lamar Jackson","BAL","8","QB12","105","","","107.0"
"102","Emmanuel Sanders","","","WR41","129","","","107.3"
"103","Rashaad Penny","CAR","7 ","RB38","115","","","107.7"
"104","Devin Singletary","NYG","11","RB39","116","","","108.7"
