"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"117","Michael Carter","ARI","13","RB41","126","116","","121.0"
"118","Indianapolis Colts","DST","14","DST5","109","135","","122.0"
"119","George Pickens","PIT","9","WR45","130","114","","122.0"
"120","Kadarius Toney","KC","8","WR46","134","111","","122.5"
"121","Daniel Carlson","LV","6","K3","104","144","","124.0"
"122","James Robinson","NO","14","RB42","136","112","","124.0"
"123","Kirk Cousins","ATL","14","QB15","120","132","","126.0"
"124","Harrison Butker","KC","8","K4","115","139","","127.0"
"125","Tyler Bass","BUF","7","K5","102","153","","127.5"
"126","Chase Claypool","BUF","7","WR47","150","110","","130.0"
"127","Mike Gesicki","CIN","10","TE13","132","128","","130.0"
"128","Alexander Mattison","LV","6","RB43","144","117","","130.5"
"129","Matt Gay","IND","14","K6","110","152","","131.0"
"130","Nyheim Hines","CLE","9","RB44","143","121","","132.0"
"131","Julio Jones","","","WR48","142","124","","133.0"
"132","Denver Broncos","DST","9","DST6","111","160","","135.5"
"133","Brian Robinson Jr.","WAS","14","RB45","133","141","","137.0"
"134","Green Bay Packers","DST","14","DST7","113","165","","139.0"
"135","New Orleans Saints","DST","14","DST8","127","151","","139.0"
"136","Dallas Cowboys","DST","9","DST9","154","131","","142.5"
"137","Garrett Wilson","NYJ","10","WR49","166","122","","144.0"
"138","Albert Okwuegbunam Jr.","PHI","7","TE14","131","157","","144.0"
"139","Treylon Burks","TEN","6","WR50","194","107","","150.5"
"140","Hunter Henry","NE","10","TE15","159","143","","151.0"
"141","Marquez Valdes-Scantling","BUF","7","WR51","182","123","","152.5"
"142","Isiah Pacheco","KC","8","RB46","165","140","","152.5"
"143","Jarvis Landry ","","","WR52","160","145","","152.5"
"144","Skyy Moore","KC","8","WR53","192","115","","153.5"
"145","Raheem Mostert","MIA","11","RB47","155","154","","154.5"
"146","David Njoku","CLE","9","TE16","163","147","","155.0"
"147","Tyler Boyd","TEN","6","WR54","185","127","","156.0"
"148","DeVante Parker","","","WR55","175","142","","158.5"
"149","Russell Gage","","","WR56","146","176","","161.0"
"150","Isaiah Spiller","LAC","8","RB48","190","134","","162.0"
"151","Tua Tagovailoa","MIA","11","QB16","169","155","","162.0"
"152","Mecole Hardman Jr.","KC","8","WR57","156","168","","162.0"
"153","Romeo Doubs","GB","14","WR58","187","138","","162.5"
"154","Ronald Jones","II","","RB49","124","204","","164.0"
"155","Kenneth Gainwell","PHI","7","RB50","200","129","","164.5"
"156","Mark Ingram II ","","","RB51","162","167","","164.5"
"157","Tyler Allgeier","ATL","14","RB52","184","148","","166.0"
"158","Marlon Mack","","","RB53","129","205","","167.0"
"159","Justin Fields","PIT","9","QB17","170","164","","167.0"
"160","Baltimore Ravens","DST","10","DST10","202","133","","167.5"
"161","Rachaad White","TB","11","RB54","181","156","","168.5"
"162","Jahan Dotson","WAS","14","WR59","189","150","","169.5"
"163","Khalil Herbert","CHI","14","RB55","196","146","","171.0"
"164","Younghoe Koo","ATL","14","K7","168","175","","171.5"
"165","Michael Gallup","LV","6","WR60","215","130","","172.5"
"166","Baker Mayfield","TB","11","QB18","137","209","","173.0"
"167","Zamir White","LV","6","RB56","183","163","","173.0"
"168","Trevor Lawrence","JAC","11","QB19","174","172","","173.0"
"169","Tyler Higbee","LAR","7","TE17","180","171","","175.5"
"170","Rondale Moore","ATL","14 ","WR61","195","159","","177.0"
"171","Jamaal Williams","NO","14","RB57","209","149","","179.0"
"172","Robbie Gould","","","K8","147","212","","179.5"
"173","Kenny Golladay","","","WR62","178","181","","179.5"
"174","Kenny Pickett","PHI","7","QB20","128","232","","180.0"
"175","Isaiah McKenzie","NYG","9","WR63","198","162","","180.0"
"176","Odell Beckham Jr.","MIA","11","WR64","158","203","","180.5"
"177","Joshua Palmer","LAC","8","WR65","179","184","","181.5"
"178","Mac Jones","JAC","11","QB21","151","215","","183.0"
"179","Sammy Watkins","","","WR66","173","193","","183.0"
"180","Christian Watson","GB","14","WR67","191","178","","184.5"
"181","Hayden Hurst","LAC","8","TE18","153","219","","186.0"
"182","DJ Chark Jr.","LAC","8","WR68","206","166","","186.0"
"183","Jalen Tolbert","DAL","9","WR69","172","200","","186.0"
"184","Taysom Hill","NO","14","TE19","138","235","","186.5"
"185","Deshaun Watson","CLE","9","QB22","171","202","","186.5"
"186","Matt Prater","ARI","13","K9","213","161","","187.0"
"187","Nick Folk","TEN","6","K10","176","198","","187.0"
"188","Jameis Winston","CLE","9","QB23","188","186","","187.0"
"189","J.D. McKissic ","","","RB58","207","170","","188.5"
"190","Carson Wentz","KC","8","QB24","139","","","139.0"
"191","Cameron Brate","","","TE20","140","","","140.0"
"192","Mike Davis","","","RB59","197","182","","189.5"
"193","Las Vegas Raiders","DST","6","DST11","141","","","141.0"
"194","Chicago Bears","DST","14","DST12","145","","","145.0"
"195","D'Onta Foreman","CLE","9","RB60","193","191","","192.0"
"196","Isaiah Likely","BAL","10","TE21","164","222","","193.0"
"197","Greg Joseph","GB","14","K11","148","","","148.0"
"198","Jakobi Meyers","LV","6","WR70","210","177","","193.5"
"199","Mo Alie-Cox","IND","14","TE22","149","","","149.0"
"200","Ryan Tannehill ","","","QB25","152","237","","194.5"
"201","Irv Smith Jr.","KC","8","TE23","217","173","","195.0"
"202","Sony Michel","","","RB61","157","234","","195.5"
"203","Robert Tonyan","MIN","7","TE24","201","192","","196.5"
"204","Los Angeles Chargers","DST","8","DST13","","158","","158.0"
"205","Matt Ryan","","","QB26","203","195","","199.0"
"206","Jameson Williams","DET","6","WR71","225","174","","199.5"
"207","New England Patriots","DST","10","DST14","220","179","","199.5"
"208","Greg Zuerlein","NYJ","10","K12","161","","","161.0"
"209","Brandon McManus","","","K13","231","169","","200.0"
"210","Nico Collins","HU","6 O","WR72","212","188","","200.0"
"211","Rodrigo Blankenship","","","K14","223","180","","201.5"
"212","Chris Boswell","PIT","9","K15","167","","","167.0"
"213","Darrel Williams","","","RB62","186","221","","203.5"
"214","Ryan Succop","","","K16","229","183","","206.0"
"215","Jared Goff","DET","6","QB27","177","","","177.0"
"216","Noah Fant","SEA","11","TE25","199","217","","208.0"
"217","Cleveland Browns","DST","9","DST15","232","185","","208.5"
"218","Wil Lutz","DEN","9","K17","208","211","","209.5"
"219","Gerald Everett","CHI","14","TE26","219","201","","210.0"
"220","Pittsburgh Steelers","DST","9","DST16","230","194","","212.0"
"221","Wan'Dale Robinson","NYG","9 ","WR73","","187","","187.0"
"222","K.J. Osborn","NE","10","WR74","","189","","189.0"
"223","KJ Hamler","BUF","7 ","WR75","","190","","190.0"
"224","Austin Hooper","NE","10","TE27","218","213","","215.5"
"225","Chuba Hubbard","CAR","13","RB63","","196","","196.0"
"226","Alec Pierce","IND","14","WR76","","197","","197.0"
"227","Tyrion Davis-Price","PHI","7","RB64","","199","","199.0"
"228","Evan Engram","JAC","11","TE28","222","218","","220.0"
"229","Devin Duvernay","JAC","11 ","WR77","204","","","204.0"
"230","Gus Edwards","LAC","8","RB65","227","216","","221.5"
"231","Cade York","CLE","9","K18","205","","","205.0"
"232","Philadelphia Eagles","DST","7","DST17","237","207","","222.0"
"233","Jeff Wilson Jr.","MIA","11","RB66","","206","","206.0"
"234","Eno Benjamin","","","RB67","","208","","208.0"
"235","Marvin Jones Jr.","","","WR78","","210","","210.0"
"236","Washington Commanders","DST","14","DST18","211","","","211.0"
"237","Tennessee Titans","DST","6","DST19","226","224","","225.0"
"238","Robbie Chosen","","","WR79","","214","","214.0"
"239","Zay Jones","ARI","13","WR80","214","","","214.0"
"240","Logan Thomas","SF","9","TE29","216","","","216.0"
"241","Cincinnati Bengals","DST","10","DST20","235","223","","229.0"
"242","Van Jefferson","PIT","9","WR81","","220","","220.0"
"243","Jason Sanders","MIA","11","K19","221","","","221.0"
"244","Miami Dolphins","DST","11","DST21","236","227","","231.5"
"245","Daniel Jones","NYG","9","QB28","224","240","","232.0"
"246","Dontrell Hilliard ","","","RB68","","225","","225.0"
"247","Jerick McKinnon","","","RB69","","226","","226.0"
"248","Randall Cobb","","","WR82","","228","","228.0"
"249","Jake Elliott","PHI","7","K20","228","","","228.0"
"250","Kenyan Drake","","","RB70","","229","","229.0"
"251","Parris Campbell","PHI","7","WR83","","230","","230.0"
"252","Samaje Perine","DEN","9","RB71","","231","","231.0"
"253","A.J. Green","","","WR84","","233","","233.0"
"254","Dustin Hopkins","CLE","9","K21","233","","","233.0"
"255","Kansas City Chiefs","DST","8","DST22","234","","","234.0"
"256","David Bell","CLE","9","WR85","","236","","236.0"
"257","Minnesota Vikings","DST","7","DST23","238","","","238.0"
"258","Donovan Peoples-Jones","DET","6","WR86","","238","","238.0"
"259","Curtis Samuel","BUF","7","WR87","","239","","239.0"
"260","Hassan Haskins","TEN","6","RB72","","241","","241.0"
"261","Andre Baccellia","ARI","13","WR88","","242","","242.0"
"262","Parker Houston","","","TE30","","243","","243.0"
"263","Carl Tucker","","","TE31","","244","","244.0"
"264","Tyshaun James","","","WR89","","245","","245.0"
"265","Javon Leake","","","RB73","","246","","246.0"
"266","Charles Williams","","","RB74","","247","","247.0"
"267","J.J. Koski ","","","WR90","","249","","249.0"
"268","Connor Wedington","","","WR91","","250","","250.0"
"269","Shane Zylstra","DET","6","TE32","","251","","251.0"
"270","Shaquelle Evans","","","WR92","","252","","252.0"
"271","Terrell Sinkfield","","","WR93","","254","","254.0"
"272","Diontae Spencer","","","WR94","","255","","255.0"
"273","Bennie Fowler","III","","WR95","","256","","256.0"
"274","Cade Brewer","","","TE33","","257","","257.0"
"275","Levi Lewis","","","QB29","","258","","258.0"
"276","Kendal Thompson","","","WR96","","259","","259.0"
"277","Terry Swanson","","","RB75","","260","","260.0"
"278","David Watford","","","WR97","","261","","261.0"
"279","Ryan Nall","","","RB76","","262","","262.0"
"280","Juwan Johnson","NO","14","TE34","","263","","263.0"
"281","Emeka Emezie","","","WR98","","264","","264.0"
"282","Brandon Smith","","","CB1","","266","","266.0"
"283","Javian Hawkins","TEN","6","RB77","","268","","268.0"
"284","Kenneth Dixon","","","RB78","","269","","269.0"
"285","Alonzo Moore","","","WR99","","271","","271.0"
"286","Jaron Brown","","","WR100","","272","","272.0"
"287","Matthew Wright","PIT","9","K22","","273","","273.0"
"288","Tyler Renew","","","RB79","","274","","274.0"
"289","John Lovett","","","QB30","","275","","275.0"
"290","Brandon Johnson","","","LB1","","276","","276.0"
"291","Blake Sims","","","QB31","","277","","277.0"
"292","Jack Stoll","NYG","9","TE35","","278","","278.0"
"293","Jake Heaps","","","QB32","","279","","279.0"
"294","Eric Rogers","","","WR101","","280","","280.0"
""
""
