"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Jonathan Taylor","IND","14 ","RB1","1","1","","1.0"
"2","Christian McCaffrey","SF","9","RB2","2","2","","2.0"
"3","Austin Ekeler","WAS","14","RB3","3","4","","3.5"
"4","Derrick Henry","BAL","10","RB4","6","3","","4.5"
"5","Cooper Kupp","LAR","7 ","WR1","4","5","","4.5"
"6","Justin Jefferson","MIN","7","WR2","5","8","","6.5"
"7","Dalvin Cook","","","RB5","7","6","","6.5"
"8","Najee Harris","PIT","9","RB6","9","7","","8.0"
"9","Ja'Marr Chase","CIN","10","WR3","8","10","","9.0"
"10","Joe Mixon","HOU","6","RB7","11","9","","10.0"
"11","Davante Adams","LV","6","WR4","12","11","","11.5"
"12","Stefon Diggs","HOU","6","WR5","10","14","","12.0"
"13","D'Andre Swift","CHI","14","RB8","17","12","","14.5"
"14","Travis Kelce","KC","8","TE1","15","15","","15.0"
"15","Alvin Kamara","NO","14","RB9","18","13","","15.5"
"16","CeeDee Lamb","DAL","9","WR6","13","19","","16.0"
"17","Aaron Jones","MIN","7","RB10","14","18","","16.0"
"18","Saquon Barkley","PHI","7","RB11","16","17","","16.5"
"19","Nick Chubb","CLE","9","RB12","19","16","","17.5"
"20","Tyreek Hill","MIA","11","WR7","24","20","","22.0"
"21","Josh Allen","BUF","7","QB1","22","22","","22.0"
"22","Leonard Fournette","","","RB13","20","25","","22.5"
"23","Javonte Williams","DEN","9 ","RB14","25","21","","23.0"
"24","Mike Evans","TB","11","WR8","21","26","","23.5"
"25","Deebo Samuel Sr.","SF","9","WR9","23","24","","23.5"
"26","Mark Andrews","BAL","10","TE2","26","23","","24.5"
"27","Ezekiel Elliott","DAL","9","RB15","28","27","","27.5"
"28","James Conner","ARI","13","RB16","29","29","","29.0"
"29","Michael Pittman Jr.","IND","14","WR10","27","33","","30.0"
"30","A.J. Brown","PHI","7","WR11","32","28","","30.0"
"31","Keenan Allen","CHI","14","WR12","31","30","","30.5"
"32","Tee Higgins","CIN","10","WR13","30","34","","32.0"
"33","Kyle Pitts","ATL","14 ","TE3","33","31","","32.0"
"34","Patrick Mahomes II","KC","8","QB2","34","32","","33.0"
"35","Justin Herbert","LAC","8","QB3","36","36","","36.0"
"36","DJ Moore","CHI","14","WR14","35","41","","38.0"
"37","George Kittle","SF","9","TE4","42","35","","38.5"
"38","Travis Etienne Jr.","JAC","11","RB17","43","37","","40.0"
"39","Mike Williams","NYJ","10","WR15","38","43","","40.5"
"40","Breece Hall","NYJ","10 ","RB18","41","40","","40.5"
"41","Terry McLaurin","WAS","14","WR16","40","42","","41.0"
"42","David Montgomery","DET","6","RB19","46","38","","42.0"
"43","Cam Akers","","","RB20","45","39","","42.0"
"44","Lamar Jackson","BAL","10","QB4","39","46","","42.5"
"45","Courtland Sutton","DEN","9","WR17","44","44","","44.0"
"46","Elijah Mitchell","SF","9","RB21","37","54","","45.5"
"47","Darren Waller","","","TE5","47","48","","47.5"
"48","Diontae Johnson","CAR","13","WR18","50","47","","48.5"
"49","Jaylen Waddle","MIA","11","WR19","49","49","","49.0"
"50","Josh Jacobs","GB","14","RB22","54","45","","49.5"
"51","Allen Robinson II","NYG","9 ","WR20","48","53","","50.5"
"52","DK Metcalf","SEA","11","WR21","55","50","","52.5"
"53","AJ Dillon","GB","14","RB23","52","56","","54.0"
"54","J.K. Dobbins","LAC","8","RB24","58","52","","55.0"
"55","Kyler Murray","ARI","13 ","QB5","56","55","","55.5"
"56","Joe Burrow","CIN","10","QB6","51","62","","56.5"
"57","Jerry Jeudy","CLE","9","WR22","62","51","","56.5"
"58","Dalton Schultz","HOU","6","TE6","53","60","","56.5"
"59","Jalen Hurts","PHI","7","QB7","57","63","","60.0"
"60","Antonio Gibson","NE","10 ","RB25","69","57","","63.0"
"61","Brandin Cooks","DAL","9","WR23","68","59","","63.5"
"62","JuJu Smith-Schuster","NE","10","WR24","59","68","","63.5"
"63","Amon-Ra St. Brown","DET","6","WR25","64","66","","65.0"
"64","Clyde Edwards-Helaire","KC","8","RB26","72","61","","66.5"
"65","Gabe Davis","JAC","11","WR26","63","70","","66.5"
"66","Hollywood Brown","KC","8","WR27","78","58","","68.0"
"67","T.J. Hockenson","MIN","7","TE7","65","71","","68.0"
"68","Dallas Goedert","PHI","7","TE8","61","79","","70.0"
"69","Tom Brady","","","QB8","60","81","","70.5"
"70","Michael Thomas ","","","WR28","74","67","","70.5"
"71","Russell Wilson","PIT","9","QB9","70","73","","71.5"
"72","Chase Edmonds","TB","11","RB27","67","78","","72.5"
"73","Damien Harris","","","RB28","71","74","","72.5"
"74","Adam Thielen","CAR","13","WR29","77","69","","73.0"
"75","Amari Cooper","CLE","9","WR30","86","65","","75.5"
"76","Rashod Bateman","BAL","10 ","WR31","79","76","","77.5"
"77","Chris Godwin","TB","11","WR32","94","64","","79.0"
"78","Dameon Pierce","HU","6 O","RB29","75","83","","79.0"
"79","Dawson Knox","BUF","7","TE9","73","89","","81.0"
"80","Darnell Mooney","ATL","14 ","WR33","91","72","","81.5"
"81","Miles Sanders","CAR","13","RB30","88","77","","82.5"
"82","Buffalo Bills","DST","7","DST1","66","102","","84.0"
"83","Devin Singletary","NYG","9","RB31","83","85","","84.0"
"84","Rashaad Penny","CAR","13 ","RB32","82","88","","85.0"
"85","Kareem Hunt","","","RB33","99","75","","87.0"
"86","Tony Pollard","TEN","6","RB34","90","84","","87.0"
"87","Dak Prescott","DAL","9","QB10","85","94","","89.5"
"88","Hunter Renfrow","","","WR34","93","86","","89.5"
"89","Cordarrelle Patterson","PIT","9","RB35","101","80","","90.5"
"90","Rhamondre Stevenson","NE","10","RB36","87","96","","91.5"
"91","Elijah Moore","CLE","9","WR35","95","90","","92.5"
"92","Aaron Rodgers","NYJ","10","QB11","89","97","","93.0"
"93","DeAndre Hopkins","TEN","6","WR36","105","82","","93.5"
"94","Brandon Aiyuk","SF","9","WR37","97","95","","96.0"
"95","Zach Ertz","WAS","14 ","TE10","96","98","","97.0"
"96","DeVonta Smith","PHI","7","WR38","108","87","","97.5"
"97","Trey Lance","DAL","9 ","QB12","92","104","","98.0"
"98","Allen Lazard","NYJ","10","WR39","106","91","","98.5"
"99","Tampa Bay Buccaneers","DST","11","DST2","80","118","","99.0"
"100","Melvin Gordon","III","","RB37","103","100","","101.5"
"101","San Francisco 49ers","DST","9","DST3","81","125","","103.0"
"102","Matthew Stafford","LAR","7 ","QB13","98","108","","103.0"
"103","Kenneth Walker III","SEA","11","RB38","114","93","","103.5"
"104","Christian Kirk","JAC","11","WR40","107","101","","104.0"
"105","Justin Tucker","BAL","10","K1","76","136","","106.0"
"106","Drake London","ATL","14","WR41","122","92","","107.0"
"107","Los Angeles Rams","DST","7","DST4","100","119","","109.5"
"108","Evan McPherson","CIN","10","K2","84","137","","110.5"
"109","James Cook","BUF","7","RB39","118","103","","110.5"
"110","Tyler Lockett","SEA","11","WR42","116","105","","110.5"
"111","Robert Woods","HOU","6","WR43","121","106","","113.5"
"112","Pat Freiermuth","PIT","9","TE11","119","109","","114.0"
"113","Chris Olave","NO","14","WR44","135","99","","117.0"
"114","Cole Kmet","CHI","14","TE12","117","120","","118.5"
"115","Derek Carr","NO","14","QB14","112","126","","119.0"
"116","Darrell Henderson Jr.","","","RB40","125","113","","119.0"
