"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"451","Mason Rudolph","TEN","8","QB55","","","","439.0"
"452","Niles Paul","","","TE63","","","","440.0"
"453","Keith Smith","","","RB126","","","","441.0"
"454","Patrick DiMarco","","","RB127","","","","442.0"
"455","Andy Janovich","","","RB128","","","","443.0"
"456","Joe Webb","III","","QB56","","","","444.0"
"457","Nick Boyle","","","TE64","","","","445.0"
"458","Chris Moore","ARI","9","WR156","","","","446.0"
"459","Jermaine Gresham","","","TE65","","","","447.0"
"460","Justin Hunter ","","","WR157","","","","448.0"
"461","Demarcus Robinson","LAR","12","WR158","","","","449.0"
"462","Brandon Weeden","","","QB57","","","","450.0"
"463","Demetrius Harris ","","","TE66","","","","451.0"
"464","Seth DeValve","","","TE67","","","","452.0"
"465","Nate Sudfeld","DET","6","QB58","","","","453.0"
"466","Lee Smith","","","TE68","","","","454.0"
"467","Lance Kendricks","","","TE69","","","","455.0"
"468","Eli Rogers ","","","WR159","","","","456.0"
"469","A.J. Derby","","","TE70","","","","457.0"
"470","Benny Cunningham Jr.","","","RB129","","","","458.0"
"471","Chad Hansen","","","WR160","","","","459.0"
"472","De","","'Anthony Thomas","","","WR161","","","","460.0"
"473","Jamize Olawale","","","RB130","","","","461.0"
"474","Chris Herndon","IV","","TE71","","","","462.0"
"475","Nick O","","'Leary","","","TE72","","","","463.0"
"476","Logan Paulsen","","","TE73","","","","464.0"
"477","Geno Smith","SEA","7","QB59","","","","465.0"
"478","Josh Hill","","","TE74","","","","466.0"
"479","Blaine Gabbert","","","QB60","","","","467.0"
"480","Kendrick Bourne","NE","11","WR162","","","","468.0"
"481","Josh Reynolds","DEN","10","WR163","","","","469.0"
"482","Hunter Henry","NE","11","TE75","","","","470.0"
""
""
