"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"57","Brandon Marshall","","","WR24","","","","63","","57.0"
"58","Doug Martin","","","RB26","","","","58","","59.5"
"59","Russell Wilson","PIT","11","QB5","","","","68","","59.8"
"60","Ben Roethlisberger","","","QB6","","","","65","","60.8"
"61","Todd Gurley","II","","RB27","","","","52","","62.5"
"62","Allen Robinson II","NYG","11","WR25","","","","66","","62.5"
"63","Davante Adams","LV","","WR26","","","","64","","64.0"
"64","Martellus Bennett","","","TE5","","","","67","","65.3"
"65","DeSean Jackson","","","WR27","","","","62","","65.3"
"66","Giovani Bernard","","","RB28","","","","69","","66.0"
"67","Martavis Bryant","","","WR28","","","","78","","66.8"
"68","Chris Ivory","","","RB29","","","","61","","67.3"
"69","Nelson Agholor","BAL","9","WR29","","","","72","","68.8"
"70","Vincent Jackson","","","WR30","","","","71","","70.8"
"71","Matt Ryan","","","QB7","","","","73","","72.5"
"72","Joique Bell","","","RB30","","","","70","","73.3"
"73","Charles Johnson","","","WR31","","","","75","","75.3"
"74","LeGarrette Blount","","","RB31","","","","79","","76.3"
"75","Shane Vereen","","","RB32","","","","74","","76.3"
"76","Tevin Coleman","","","RB33","","","","76","","77.5"
"77","Rashad Jennings","","","RB34","","","","80","","79.8"
"78","Mike Wallace","","","WR32","","","","77","","80.0"
