"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"187","Jameis Winston","CLE","11","QB24","","","","212","","162.7"
"188","Tyrod Taylor","NYJ","5","QB25","","","","227","","216.8"
"189","James Jones","","","WR69","","","","174","","217.3"
"190","Jonas Gray","","","RB60","","","","156","","167.0"
"191","Eric Ebron","","","TE22","","","","180","","167.0"
"192","James Starks","","","RB61","","","","204","","221.5"
"193","Stephen Hauschka","","","K3","","","","203","","172.3"
"194","Reggie Wayne","","","WR70","","","","205","","174.3"
"195","Jeff Janis","","","WR71","","","","202","","225.8"
"196","Mason Crosby","","","K4","","","","175","","176.7"
"197","Montee Ball","","","RB62","","","","167","","176.7"
"198","Jay Ajayi","","","RB63","","","","219","","177.7"
"199","Green Bay Packers","DST","7","DST14","","","","220","","182.7"
"200","Khiry Robinson","","","RB64","","","","213","","232.5"
"201","Larry Donnell","","","TE23","","","","151","","186.0"
"202","Cody Parkey","","","K5","","","","176","","186.7"
"203","Dan Bailey","","","K6","","","","216","","187.7"
"204","Indianapolis Colts","DST","10","DST15","","","","314","","237.5"
"205","Charles Clay","","","TE24","","","","198","","191.3"
"206","Minnesota Vikings","DST","5","DST16","","","","279","","238.0"
"207","Kenny Britt","","","WR72","","","","209","","195.0"
"208","Justin Tucker","BAL","9","K7","","","","206","","195.0"
"209","Nick Foles","","","QB26","","","","229","","196.0"
"210","Ladarius Green","","","TE25","","","","230","","196.3"
"211","Alex Smith","","","QB27","","","","233","","198.3"
"212","Heath Miller","","","TE26","","","","211","","199.7"
"213","Donte Moncrief","","","WR73","","","","257","","203.3"
"214","Dwayne Bowe","","","WR74","","","","241","","204.3"
"215","Blake Bortles","","","QB28","","","","261","","204.7"
"216","Terrance West","","","RB65","","","","189","","206.7"
"217","Jerick McKinnon","","","RB66","","","","242","","209.3"
"218","James White","","","RB67","","","","158","","210.7"
"219","Dan Herron","","","RB68","","","","166","","215.7"
"220","Theo Riddick","","","RB69","","","","249","","221.3"
"221","Mohamed Sanu Sr.","","","WR75","","","","265","","223.0"
"222","Branden Oliver","","","RB70","","","","178","","223.0"
"223","Sebastian Janikowski","","","K8","","","","226","","224.7"
"224","Chris Johnson","","","RB71","","","","191","","225.0"
"225","Matt Bryant","","","K9","","","","273","","225.7"
"226","Cordarrelle Patterson","PIT","11","RB72","","","","244","","226.7"
"227","Brandon McManus","","","K10","","","","256","","227.0"
"228","Chris Polk","","","RB73","","","","215","","228.7"
"229","Robert Griffin","III","","QB29","","","","268","","230.3"
"230","Jaelen Strong","","","WR76","","","","294","","234.0"
"231","Malcom Floyd","","","WR77","","","","239","","234.7"
"232","Maxx Williams","","","TE27","","","","291","","238.7"
"233","Matt Prater","ARI","9","K11","","","","281","","238.7"
"234","Greg Zuerlein","NYJ","5","K12","","","","293","","239.7"
"235","Lance Dunbar","","","RB74","","","","243","","241.7"
"236","Stevan Ridley","","","RB75","","","","238","","242.3"
"237","Cecil Shorts","","","WR78","","","","210","","244.7"
"238","Marqise","Lee","","WR79","","","","325","","246.3"
"239","Cincinnati Bengals","DST","7","DST17","","","","302","","248.0"
"240","Javorius Allen","","","RB76","","","","266","","249.3"
"241","Jared Cook","","","TE28","","","","305","","252.7"
"242","Blair Walsh","","","K13","","","","298","","254.3"
"243","Detroit Lions","DST","9","DST18","","","","316","","255.0"
"244","Leonard Hankerson","","","WR80","","","","297","","257.0"
"245","Cole Beasley","","","WR81","","","","280","","257.7"
"246","Danny Amendola","","","WR82","","","","234","","259.0"
"247","Lorenzo Taliaferro","","","RB77","","","","237","","261.3"
"248","Jeremy Langford","","","RB78","","","","284","","261.3"
"249","Josh Robinson","","","RB79","","","","228","","263.3"
"250","Ray Rice","","","RB80","","","","275","","265.7"
"251","Dion Lewis","","","RB81","","","","221","","267.7"
"252","Josh Scobee","","","K14","","","","292","","269.7"
"253","Pierre Thomas","","","RB82","","","","338","","269.7"
"254","Zach Zenner","","","RB83","","","","225","","269.7"
"255","Ryan Fitzpatrick","","","QB30","","","","326","","220.5"
"256","Karlos Williams","","","RB84","","","","254","","274.0"
"257","Dustin Hopkins","CLE","11","K15","","","","207","","233.5"
"258","Stedman Bailey","","","WR83","","","","232","","235.5"
"259","Tavon Austin","","","WR84","","","","235","","240.5"
"260","Los Angeles Chargers","DST","","DST19","","","","362","","241.5"
"261","Knowshon Moreno","","","RB85","","","","223","","242.0"
"262","Riley Cooper","","","WR85","","","","309","","242.5"
"263","Virgil Green","","","TE29","","","","286","","287.7"
"264","Garrett Hartley","","","K16","","","","289","","243.5"
"265","Robbie Gould","","","K17","","","","200","","244.5"
"266","Nick Toon","","","WR86","","","","329","","289.3"
"267","Justin Hunter","","","WR87","","","","315","","289.3"
"268","Dan Carpenter","","","K18","","","","288","","246.0"
"269","Dallas Cowboys","DST","6","DST20","","","","321","","246.5"
"270","Chicago Bears","DST","7","DST21","","","","263","","250.0"
"271","Jace Amaro","","","TE30","","","","361","","297.3"
"272","Brian Hoyer","","","QB31","","","","375","","259.0"
"273","Damian Williams","","","WR88","","","","141","","141.0"
"274","Tampa Bay Buccaneers","DST","6","DST22","","","","327","","260.5"
"275","Connor Barth","","","K19","","","","245","","261.0"
"276","Greg Jennings","","","WR89","","","","240","","262.0"
"277","Chris Conley","SF","10","WR90","","","","259","","264.0"
"278","Caleb Sturgis","","","K20","","","","304","","266.0"
"279","Matt Cassel","","","QB32","","","","","","157.0"
"280","Shaun Suisham","","","K21","","","","285","","269.5"
"281","Robert Woods","HOU","9","WR91","","","","274","","270.0"
"282","Chris Givens","","","WR92","","","","163","","163.0"
"283","Jordan Norwood","","","WR93","","","","193","","270.5"
"284","Austin Davis","","","QB33","","","","","","164.0"
"285","Josh McCown","","","QB34","","","","373","","276.5"
"286","Robert Turbin","","","RB86","","","","278","","276.5"
"287","Stefon Diggs","HOU","9","WR94","","","","258","","277.0"
"288","Nick Novak","","","K22","","","","307","","277.5"
"289","Brandon Weeden","","","QB35","","","","","","178.0"
"290","Brock Osweiler","","","QB36","","","","","","179.0"
"291","Josh Gordon","","","WR95","","","","","","279.5"
"292","Marcel Reece","","","RB87","","","","181","","305.0"
"293","Geno Smith","SEA","9","QB37","","","","368","","312.3"
"294","Andrew Hawkins","","","WR96","","","","250","","280.0"
"295","Josh Brown","","","K23","","","","320","","281.0"
"296","Jarrett Boykin","","","WR97","","","","185","","312.0"
"297","Phil Dawson","","","K24","","","","300","","282.5"
"298","Toby Gerhart","","","RB88","","","","312","","284.0"
"299","Andrew Quarless","","","TE31","","","","290","","284.0"
"300","Mike Nugent","","","K25","","","","270","","284.5"
"301","Miles Austin","","","WR98","","","","194","","194.0"
"302","Brandon Bolden","","","RB89","","","","277","","286.0"
"303","Matt Asiata","","","RB90","","","","199","","306.5"
"304","Randy Bullock","","","K26","","","","306","","289.0"
"305","New York Giants","DST","11","DST23","","","","356","","290.0"
"306","Mark Sanchez","","","QB38","","","","335","","291.0"
"307","Chandler Catanzaro","","","K27","","","","323","","292.5"
"308","Kirk Cousins","ATL","10","QB39","","","","264","","293.5"
"309","Cleveland Browns","DST","11","DST24","","","","313","","293.5"
"310","Pittsburgh Steelers","DST","11","DST25","","","","337","","294.0"
"311","Zac Stacy","","","RB91","","","","252","","295.5"
"312","Wes Welker","","","WR99","","","","214","","214.0"
"313","Washington Commanders","DST","8","DST26","","","","370","","296.0"
"314","Johnny Manziel","","","QB40","","","","352","","296.5"
"315","Josh Huff","","","WR100","","","","347","","296.5"
"316","San Francisco 49ers","DST","10","DST27","","","","330","","296.5"
"317","Ahmad Bradshaw","","","RB92","","","","217","","217.0"
"318","Ryan Mallett","","","QB41","","","","374","","298.5"
"319","Sammie Coates","","","WR101","","","","","","221.0"
"320","Mychal Rivera","","","TE32","","","","231","","299.5"
"321","Scott Chandler","","","TE33","","","","301","","299.5"
"322","Jimmy Clausen","","","QB42","","","","","","225.0"
"323","Harry Douglas","","","WR102","","","","260","","302.0"
"324","Nick Folk","TEN","4","K28","","","","336","","302.0"
"325","Damien Williams","","","RB93","","","","255","","303.0"
"326","Trent Richardson","","","RB94","","","","349","","303.5"
"327","Cairo Santos","CHI","7","K29","","","","296","","305.0"
"328","Kenjon Barner","","","RB95","","","","236","","236.0"
"329","Jimmy Garoppolo","LAR","","QB43","","","","","","236.0"
"330","Juwan Thompson","","","RB96","","","","247","","307.0"
"331","Brian Hartline","","","WR103","","","","251","","307.0"
"332","Jacquizz Rodgers","","","RB97","","","","295","","311.0"
"333","Graham Gano","NYG","11","K30","","","","310","","311.0"
"334","Anthony Dixon","","","RB98","","","","248","","248.0"
"335","Ka","","'Deem Carey","","","RB99","","","","334","","313.5"
"336","Bryce Brown","","","RB100","","","","253","","253.0"
"337","Jermaine Kearse","","","WR104","","","","269","","319.0"
"338","Jacksonville Jaguars","DST","8","DST28","","","","355","","320.5"
"339","Jarryd Hayne","","","RB101","","","","272","","321.0"
"340","Josh Lambo","","","K31","","","","303","","321.5"
"341","Nate Washington","","","WR105","","","","271","","322.0"
"342","Niles Paul","","","TE34","","","","267","","267.0"
"343","Kamar Aiken","","","WR106","","","","345","","322.5"
"344","Jacob Tamme","","","TE35","","","","342","","322.5"
"345","Benny Cunningham Jr.","","","RB102","","","","283","","323.5"
"346","Justin Hardy","","","WR107","","","","354","","325.5"
"347","Justin Blackmon","","","WR108","","","","","","276.0"
"348","Travaris Cadet","","","RB103","","","","276","","349.0"
"349","Kyle Brindza","","","K32","","","","282","","282.0"
"350","Benjamin Watson","","","TE36","","","","299","","332.5"
"351","Marquess Wilson","","","WR109","","","","287","","333.0"
"352","New Orleans Saints","DST","11","DST29","","","","350","","333.0"
"353","Crockett Gillmore","","","TE37","","","","319","","333.0"
"354","Bruce Miller","","","TE38","","","","","","290.0"
"355","De","","'Anthony Thomas","","","WR110","","","","","","292.0"
"356","Andre Holmes","","","WR111","","","","366","","340.5"
"357","Rex Burkhead","","","RB104","","","","","","305.0"
"358","Hakeem Nicks","","","WR112","","","","328","","341.5"
"359","Ben Tate","","","RB105","","","","308","","308.0"
"360","Clive Walford","","","TE39","","","","","","308.0"
"361","Fozzy Whittaker","","","RB106","","","","","","309.0"
"362","Dri Archer","","","RB107","","","","359","","344.0"
"363","Andrew Franks","","","K33","","","","311","","311.0"
"364","Marlon Brown","","","WR113","","","","369","","345.0"
"365","Bilal Powell","","","RB108","","","","344","","345.0"
"366","Kyle Juszczyk","SF","10","RB109","","","","","","313.0"
"367","Jordan Todman","","","RB110","","","","317","","317.0"
"368","E.J. Manuel","","","QB44","","","","","","317.0"
"369","Zach Hocker","","","K34","","","","324","","347.5"
"370","Antone Smith","","","RB111","","","","318","","376.0"
"371","Jerricho Cotchery","","","WR114","","","","322","","356.0"
"372","Tim Tebow","","","TE40","","","","","","326.0"
"373","Aaron Dobson","","","WR115","","","","","","328.0"
"374","Erik Lorig","","","RB112","","","","","","330.0"
"375","John Kuhn","","","RB113","","","","","","331.0"
"376","Gary Barnidge","","","TE41","","","","333","","354.5"
"377","Mike Tolbert","","","RB114","","","","331","","370.0"
"378","Las Vegas Raiders","DST","","DST30","","","","332","","332.0"
"379","MyCole Pruitt","PIT","11","TE42","","","","","","332.0"
"380","Devin Smith","","","WR116","","","","365","","355.0"
"381","Henry Hynoski","","","RB115","","","","","","334.0"
"382","Gavin Escobar","","","TE43","","","","371","","356.0"
"383","Griff Whalen","","","WR117","","","","","","335.0"
"384","Jeff Maehl","","","WR118","","","","","","336.0"
"385","DeAndre Smelter","","","WR119","","","","","","337.0"
"386","Rob Housler","","","TE44","","","","341","","358.0"
"387","Corey Brown","","","WR120","","","","339","","366.0"
"388","Dexter McCluster","","","RB116","","","","340","","362.0"
"389","Atlanta Falcons","DST","10","DST31","","","","358","","359.5"
"390","Quinton Patton","","","WR121","","","","","","342.0"
"391","Ricardo Lockette","","","WR122","","","","","","343.0"
"392","Travis Benjamin","","","WR123","","","","343","","343.0"
"393","Jermaine Gresham","","","TE45","","","","346","","346.0"
"394","Bernard Pierce","","","RB117","","","","348","","348.0"
"395","Jarius Wright","","","WR124","","","","372","","363.0"
"396","Bobby Rainey","","","RB118","","","","","","350.0"
"397","Tennessee Titans","DST","4","DST32","","","","351","","351.0"
"398","Chris Hogan","","","WR125","","","","","","352.0"
"399","Chris Matthews","","","WR126","","","","353","","353.0"
"400","Jamison Crowder","WAS","8","WR127","","","","","","353.0"
"401","Darren Waller","","","TE46","","","","","","356.0"
"402","Tim Wright","","","TE47","","","","357","","357.0"
"403","Brent Celek","","","TE48","","","","364","","368.0"
"404","Taylor Gabriel","","","WR128","","","","","","359.0"
"405","Paul Richardson Jr.","","","WR129","","","","","","360.0"
"406","Rod Streater","","","WR130","","","","360","","386.0"
"407","Mike Davis","","","RB119","","","","","","362.0"
"408","Dennis Pitta","","","TE49","","","","363","","377.0"
"409","Jeff Cumberland","","","TE50","","","","","","365.0"
"410","Terrelle Pryor Sr.","","","WR131","","","","367","","367.0"
"411","Colt McCoy","","","QB45","","","","","","374.0"
"412","Garrett Graham","","","TE51","","","","376","","382.5"
"413","Jordan","Gay","","K35","","","","","","377.0"
"414","Marcedes Lewis","CHI","7","TE52","","","","377","","402.5"
"415","Mike Glennon","","","QB46","","","","","","378.0"
"416","Michael Dyer","","","RB120","","","","","","380.0"
"417","Billy Cundiff","","","K36","","","","","","381.0"
"418","Will Johnson","","","RB121","","","","","","382.0"
"419","Tyler Kroft","","","TE53","","","","","","383.0"
"420","Antonio Andrews","","","RB122","","","","","","385.0"
"421","Brandon Pettigrew","","","TE54","","","","","","386.0"
"422","Lance Kendricks","","","TE55","","","","","","387.0"
"423","Devin Hester","","","WR132","","","","","","388.0"
"424","Luke Willson","","","TE56","","","","","","392.0"
"425","Kris Brown","","","K37","","","","","","394.0"
"426","Greg Salas","","","WR133","","","","","","395.0"
"427","Brandon Myers","","","TE57","","","","","","396.0"
"428","Lance Moore","","","WR134","","","","","","398.0"
"429","Landry Jones","","","QB47","","","","","","399.0"
"430","Corey Fuller","","","WR135","","","","","","400.0"
"431","AJ McCarron","","","QB48","","","","","","401.0"
"432","Derek Anderson","","","QB49","","","","","","402.0"
"433","Blaine Gabbert","","","QB50","","","","","","403.0"
"434","Drew Stanton","","","QB51","","","","","","404.0"
"435","Chase Daniel","","","QB52","","","","","","405.0"
"436","Zach Mettenberger","","","QB53","","","","","","406.0"
"437","Christian Ponder","","","QB54","","","","","","407.0"
"438","Shaun Hill","","","QB55","","","","","","408.0"
"439","Chad Henne","","","QB56","","","","","","410.0"
"440","Ryan Succop","","","K38","","","","","","411.0"
"441","Kai Forbath","LAR","","K39","","","","","","413.0"
"442","Travis Coons","","","K40","","","","","","415.0"
"443","Dan Gronkowski","","","TE58","","","","","","416.0"
"444","Dion Sims","","","TE59","","","","","","417.0"
"445","Patrick Murray","","","K41","","","","","","418.0"
"446","Carey Spear","","","K42","","","","","","419.0"
"447","Andre Roberts","","","WR136","","","","","","420.0"
"448","Jeremy Kerley","","","WR137","","","","","","421.0"
"449","Louis Murphy","","","WR138","","","","","","423.0"
"450","Dan Orlovsky","","","QB57","","","","","","424.0"
"451","Darren Fells","","","TE60","","","","","","425.0"
"452","Levine Toilolo","","","TE61","","","","","","426.0"
"453","Troy Niklas","","","TE62","","","","","","427.0"
"454","Tyler Clutts","","","RB123","","","","","","430.0"
"455","Anthony Fasano","","","TE63","","","","","","431.0"
"456","James Casey","","","TE64","","","","","","432.0"
"457","Darrel Young","","","RB124","","","","","","433.0"
"458","Derrick Coleman","","","RB125","","","","","","435.0"
"459","Albert Wilson","","","WR139","","","","","","436.0"
"460","Jason Avant","","","WR140","","","","","","437.0"
"461","Preston Parker","","","WR141","","","","","","438.0"
""
""
